Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Watashi no Kawaii Koneko-chan (My Cute Little Kitten),7.24,738,5509,6593,"3,125",10,Doujinshi,Unknown,Unknown,Publishing,"May  6, 2017 to ?",['Girls Love'],['Adult Cast'],,Galette,"Morinaga, Milk (Story & Art)",0,"[0, 0, 0]"
Gravitation dj - Megamix Gravitation,7.24,1038,,8440,"2,319",18,Doujinshi,Unknown,Unknown,Publishing,"Feb  25, 2006 to ?","['Boys Love', 'Erotica']",[],,,"Murakami, Maki (Story & Art)",3,"[1, 0, 2]"
Watashi no Angela,7.23,361,5578,16926,887,8,Doujinshi,1,3,Finished,Jun  2020,"['Drama', 'Girls Love', 'Supernatural']",[],,,Shinoa (Story & Art),1,"[0, 1, 0]"
Negative Yuusha to Maou-gun Kanbu,7.23,1281,5533,4469,"4,824",33,Doujinshi,Unknown,Unknown,Publishing,"Dec  29, 2018 to ?","['Comedy', 'Fantasy', 'Slice of Life']",[],,,Hama-chon (Story & Art),2,"[1, 1, 0]"
Saimin Seishidou (Hypnotic Sexual Counseling),7.23,658,,8738,"2,213",38,Doujinshi,Unknown,Unknown,Publishing,"Aug  14, 2016 to ?",['Hentai'],[],,,"Aiue, Oka (Story & Art)",0,"[0, 0, 0]"
Oyasumi Sex,7.23,641,,10824,"1,677",25,Doujinshi,1,7,Finished,"May  5, 2014 to Aug  16, 2015",['Hentai'],[],,,"Mikami, Mika (Story & Art)",0,"[0, 0, 0]"
Kanojo no Kuchizuke,7.23,540,5583,10109,"1,836",17,Doujinshi,Unknown,Unknown,Publishing,"Feb  1, 2015 to ?",['Girls Love'],[],,,"Yorita, Miyuki (Story & Art)",2,"[1, 1, 0]"
●Rec,7.23,4946,5605,2859,"7,607",57,Doujinshi,1,Unknown,Finished,"May  5, 2014",['Drama'],[],,,"Mizu, Asato (Story & Art)",9,"[9, 0, 0]"
Kaname,7.23,321,,15453,"1,022",32,Doujinshi,Unknown,Unknown,Publishing,"Apr  28, 2013 to ?","['Boys Love', 'Erotica', 'Hentai']","['Crossdressing', 'Historical']",,,locon (Story & Art),2,"[2, 0, 0]"
Junjou Romantica dj -  (Theater Chika Chika Chikka),7.23,276,5644,13922,"1,188",19,Doujinshi,1,1,Finished,Not available,['Boys Love'],[],,,"Nakamura, Shungiku (Story & Art)",0,"[0, 0, 0]"
Loveless dj - Mimi to boku,7.23,454,5640,14022,"1,176",13,Doujinshi,1,1,Finished,Not available,['Boys Love'],[],,,"Kouga, Yun (Story & Art)",0,"[0, 0, 0]"
Old Home no Haibane-tachi (The Haibanes of Old Home),7.23,1681,5638,3961,"5,495",57,Doujinshi,2,Unknown,Finished,"Aug  12, 2001 to Dec  30, 2001","['Drama', 'Supernatural']",[],,,"ABe, Yoshitoshi (Story & Art)",0,"[0, 0, 0]"
Yarichin☆Bitch-bu dj - Wa!,7.22,2987,,2995,"7,256",61,Doujinshi,1,Unknown,Finished,"May  4, 2015","['Boys Love', 'Erotica']",[],,,"Ogeretsu, Tanaka (Story & Art)",1,"[0, 1, 0]"
Victim Girls R,7.22,675,,9187,"2,074",44,Doujinshi,Unknown,Unknown,Publishing,"Dec  30, 2014 to ?",['Hentai'],[],,,Asanagi (Story & Art),1,"[1, 0, 0]"
Rules dj -  (Song Birds),7.22,409,,18370,777,0,Doujinshi,1,1,Finished,2007,"['Boys Love', 'Erotica']",[],,,"Miyamoto, Kano (Story & Art)",0,"[0, 0, 0]"
Tasogare Out Focus dj - Koi-iro Soft Focus,7.21,534,,15160,"1,049",0,Doujinshi,1,Unknown,Finished,"Aug  10, 2019","['Boys Love', 'Erotica']",['School'],,,Janome (Story & Art),0,"[0, 0, 0]"
Uchi no Kaisha no Chiisai Senpai no Hanashi,7.21,1165,5802,3965,"5,490",34,Doujinshi,Unknown,Unknown,Publishing,"Dec  30, 2019 to ?","['Comedy', 'Romance']","['Adult Cast', 'Workplace']",,,Saisou (Story & Art),0,"[0, 0, 0]"
Meteor Methuselah: Kanzen Kouryakubon,7.21,404,5840,14929,"1,074",4,Doujinshi,1,3,Finished,"Aug  16, 2009","['Comedy', 'Romance']",[],Shoujo,,"Ozaki, Kaori (Story & Art)",0,"[0, 0, 0]"
Hydra dj - Sono Mae no Hibi (Hydra dj - The Days Before),7.21,284,5839,22094,567,1,Doujinshi,1,1,Finished,"Aug  16, 2009",['Boys Love'],[],,,"Miyamoto, Kano (Story & Art)",0,"[0, 0, 0]"
Under (xGround) Grand Hotel dj,7.21,630,,13862,"1,196",1,Doujinshi,1,1,Finished,2001,"['Boys Love', 'Erotica']",[],,,"Sadahiro, Mika (Story & Art)",0,"[0, 0, 0]"
