Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Wagaya wa Kakuriyo no Kashihonya-san (The Haunted Bookstore: Gateway to a Parallel Universe),,,32654,33606,235,5,Novel,7,58,Finished,"Jun  22, 2019 to Apr  20, 2022","['Drama', 'Supernatural']",['Mythology'],Josei,,Shinobumaru (Story),0,"[0, 0, 0]"
"Shousetsu Kimi to, Nami ni Noretara (Ride Your Wave)",,,33075,50467,83,0,Novel,1,7,Finished,"Jun  6, 2019","['Drama', 'Romance', 'Supernatural']",[],,,"Toyoda, Mika (Story)",0,"[0, 0, 0]"
Psycho-Pass Genesis,,,33086,40194,150,0,Novel,4,Unknown,Finished,"Mar  6, 2015 to Jan  31, 2017","['Action', 'Mystery', 'Sci-Fi']",['Detective'],,,"Yoshigami, Ryou (Story)",0,"[0, 0, 0]"
Lord El-Melloi II-sei no Bouken (The Adventures of Lord El-Melloi II),,,33101,50682,82,3,Novel,Unknown,Unknown,Publishing,"Dec  25, 2020 to ?","['Adventure', 'Fantasy', 'Mystery']",[],,,"Sanda, Makoto (Story), Sakamoto, Mineji (Art)",0,"[0, 0, 0]"
Kijin Gentoushou (Sword of the Demon Hunter: Kijin Gentoushou),,,33110,23953,489,1,Novel,14,Unknown,Finished,"Jun  19, 2019 to Nov  22, 2023","['Action', 'Adventure', 'Fantasy']",[],,,"Nakanishi, Motoo (Story)",0,"[0, 0, 0]"
Cake Ouji no Spécialité,,,33127,58755,54,0,Novel,Unknown,Unknown,Publishing,"Oct  28, 2015 to ?",['Romance'],[],,,"Nanatsuki, Takafumi (Story)",0,"[0, 0, 0]"
Kuraki Kyuuden no Shisha no Ou (The King of the Dead at the Dark Palace),,,33156,26189,411,3,Novel,Unknown,Unknown,Publishing,"Nov  30, 2019 to ?","['Action', 'Fantasy']",[],,,"Merontomari (Art), Tsukikage (Story)",0,"[0, 0, 0]"
Meikyuu no Ou (King of the Labyrinth),,,33175,17867,813,1,Novel,3,34,Finished,"Jan  9, 2019 to Dec  7, 2019","['Action', 'Adventure', 'Fantasy']",[],,,Shienbis (Story),0,"[0, 0, 0]"
Possessing Nothing,,,33295,72591,7,0,Novel,19,117,Finished,"Feb  14, 2018 to Feb  24, 2020","['Action', 'Fantasy']","['Isekai', 'Time Travel']",,,Mongma (Story),0,"[0, 0, 0]"
Shoushimin Series,,,33331,22268,559,10,Novel,Unknown,Unknown,Publishing,"Dec  18, 2004 to ?",['Mystery'],['School'],,,"Yonezawa, Honobu (Story)",0,"[0, 0, 0]"
Jigoku Kurayami Hana mo Naki (Hell Is Dark with No Flowers),,,33719,56003,62,0,Novel,Unknown,Unknown,Publishing,"May  25, 2018 to ?","['Fantasy', 'Horror', 'Mystery']",[],,,"Michio, Yoru (Story)",0,"[0, 0, 0]"
