Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Hana wa Shinitagaru,7.29,1422,4840,8338,"2,353",22,One-shot,Unknown,1,Finished,"Dec  28, 2020","['Drama', 'Romance']",[],Shounen,Jump GIGA,"Nakamura, Hinata (Story & Art)",2,"[2, 0, 0]"
Fuyu no Hana,7.29,2398,4914,5105,"4,162",12,One-shot,Unknown,1,Finished,"Sep  8, 2008","['Drama', 'Romance']",[],Shoujo,Mugen Anthology Series,"Yumeka, Sumomo (Story & Art)",3,"[3, 0, 0]"
Sabaki no Mon,7.29,1381,4927,8155,"2,419",7,One-shot,Unknown,1,Finished,"Nov  10, 2011","['Drama', 'Fantasy', 'Romance']",[],Shoujo,Shiro LaLa,"Tsukuba, Sakura (Story & Art)",1,"[1, 0, 0]"
Aoharu x Kikanjuu,7.28,1218,5001,7258,"2,773",22,One-shot,Unknown,1,Finished,"Jul  28, 2011","['Action', 'Comedy', 'Slice of Life']",[],Shounen,Gangan Online,NAOE (Story & Art),1,"[1, 0, 0]"
Winter Flowers,7.27,1549,5073,7573,"2,640",6,One-shot,Unknown,1,Finished,Jan  2007,['Romance'],[],Shoujo,Cheese!,"Watanabe, Shiho (Story & Art)",1,"[1, 0, 0]"
Natsuyasumi 00-nichime,7.26,2046,5185,6009,"3,468",6,One-shot,Unknown,1,Finished,"Jul  10, 2012","['Romance', 'Slice of Life']",['School'],Shoujo,Ao Lala,"Akizuki, Sorata (Story & Art)",0,"[0, 0, 0]"
Yasashii Jikan,7.26,397,5282,20554,645,3,One-shot,Unknown,1,Finished,"Nov  9, 2021",['Comedy'],[],Seinen,Young Animal Zero,"Tsubaki, Izumi (Story & Art)",1,"[1, 0, 0]"
Kiss shitai Otoko,7.26,1038,5286,10019,"1,852",15,One-shot,Unknown,1,Finished,"Jul  17, 2021",['Drama'],[],Shounen,Shounen Jump+,Taizan 5 (Story & Art),2,"[2, 0, 0]"
Darling Only You!,7.25,1750,5337,6783,"3,024",7,One-shot,Unknown,1,Finished,"Feb  2, 2008",['Romance'],[],Shoujo,Nakayoshi,"Seizuki, Madoka (Story & Art)",3,"[2, 0, 1]"
Kamisama ga Yadoru Kotoba,7.25,1738,5358,6416,"3,219",7,One-shot,Unknown,1,Finished,"Jan  28, 2011",['Boys Love'],[],,Daria,"Chidori, Peko (Story & Art)",1,"[1, 0, 0]"
Subete no Jinrui wo Hakai suru. Sorera wa Saisei Dekinai.,7.25,1111,5390,8677,"2,234",6,One-shot,Unknown,1,Finished,"Aug  25, 2018",[],"['School', 'Strategy Game']",Shounen,Shounen Ace,"Yokota, Takuma (Art), Ise, Katsura (Story)",1,"[1, 0, 0]"
Kurogane,7.24,1696,5427,6803,"3,016",5,One-shot,Unknown,1,Finished,"Dec  20, 2010","['Action', 'Supernatural']","['Martial Arts', 'School']",Shounen,Shounen Jump (Weekly),"Ikezawa, Haruto (Story & Art)",0,"[0, 0, 0]"
Koi yori Aoku,7.24,297,5449,20291,659,4,One-shot,Unknown,1,Finished,"Sep  9, 2022",['Girls Love'],[],,Comic Ogyaaa!!,"Fukaumi, Kon (Story & Art)",0,"[0, 0, 0]"
