Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Kessaku Tanpenshuu Vampire,6.18,220,18646,26230,409,1,One-shot,Unknown,1,Finished,1990,"['Comedy', 'Fantasy', 'Romance', 'Supernatural']","['Mythology', 'Super Power', 'Vampire']",Shoujo,,"Kusunoki, Kei (Story & Art)",0,"[0, 0, 0]"
Shibuya de Aimashou (Let's Get Together in Shibuya),6.18,158,18647,26329,405,0,Manga,1,8,Finished,1991,"['Action', 'Boys Love', 'Comedy']",['Organized Crime'],,,"Takaguchi, Satosumi (Story & Art)",1,"[0, 1, 0]"
SOS Dai Tokyo Tankentai,6.18,511,18648,13790,"1,204",0,Manga,1,10,Finished,1979 to  1995,"['Drama', 'Mystery']",[],,,"Otomo, Katsuhiro (Story & Art)",0,"[0, 0, 0]"
Whispers Under the Roses,6.18,194,18649,26607,397,0,One-shot,Unknown,1,Finished,Not available,['Girls Love'],[],,,None,1,"[1, 0, 0]"
Atsuize Tenma!,6.18,342,18650,19864,683,0,Manga,1,6,Finished,"Nov  20, 1989 to Apr  20, 1990",[],['Strategy Game'],Shounen,Magazine Special,"Fukumoto, Nobuyuki (Story & Art)",0,"[0, 0, 0]"
Ruby Blood,6.18,116,18651,29923,308,1,Manga,1,3,Finished,"Feb  28, 2006","['Drama', 'Supernatural']",['Vampire'],Shoujo,Suspiria,"Kakinouchi, Narumi (Story & Art)",0,"[0, 0, 0]"
Akuyaku Ouji wa Koi ga Dekinai (The villain's Prince can't be in love.),6.18,949,18669,6159,"3,371",9,Manga,2,13,Finished,"Nov  27, 2017 to Oct  26, 2018","['Comedy', 'Romance']",['School'],Shounen,Comic REX,"Yoneda, Kazusa (Story & Art)",5,"[2, 2, 1]"
Koi ni Wazurai,6.18,179,18670,25377,437,1,Manga,1,7,Finished,"Dec  17, 2016 to Dec  18, 2017",['Girls Love'],['School'],,Comic Yuri Hime,"Gotou, Yuki (Story & Art)",1,"[0, 0, 1]"
"Shikkokutsukai no Saikyou Yuusha: Nakama Zenin ni Uragirareta node Saikyou no Mamono to Kumimasu (The Strongest Hero: Envoy of Darkness  - Betrayed by His Comrades, the Strongest Hero Joins Forces with the Strongest Monster)",6.18,796,18671,5837,"3,583",8,Manga,Unknown,Unknown,Publishing,"Mar  16, 2019 to ?","['Action', 'Adventure', 'Fantasy']",[],,Manga UP!,"Kimura, Yuri (Art), Seto, Meguru (Story)",1,"[0, 0, 1]"
Yukino Plan,6.18,106,18672,34205,225,0,Manga,Unknown,2,Finished,"Aug  24, 2019","['Comedy', 'Girls Love']",[],,Manga Time Kirara Forward,Yurikago (Story & Art),0,"[0, 0, 0]"
Midashitai Giya-san to Midarenai Tadamichi,6.18,1716,18673,4784,"4,455",5,Manga,2,18,Finished,"Dec  19, 2019 to Jul  16, 2020","['Comedy', 'Ecchi']",['School'],,Magazine pocket,"Sugawara, Yuutarou (Story & Art)",0,"[0, 0, 0]"
Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,6.18,292,18674,8851,"2,179",14,Manga,12,84,Finished,"Mar  6, 2020 to Jul  28, 2023","['Comedy', 'Fantasy']",['Isekai'],Seinen,Sunday Webry,"Taguchi, Kenji (Art), Konoe (Story)",0,"[0, 0, 0]"
"Tensei shitara Otome Game no Sekai? Ie, Majutsu wo Kiwameru no ni Isogashii node Souiu no wa Kekkou desu.",6.18,224,18675,14243,"1,151",0,Manga,Unknown,Unknown,Publishing,"Sep  27, 2019 to ?",['Fantasy'],['School'],,Flos Comic,"Sakamaki, Akimu (Art), Sakurai, Mitsumaru (Story)",0,"[0, 0, 0]"
"Isekai Monster Breeder: Cheat wa Aru kedo, Nonbiri Ikusei Shiteimasu",6.18,1875,18676,3967,"5,483",8,Manga,6,83,Finished,"Mar  29, 2020 to Dec  5, 2021","['Adventure', 'Comedy', 'Fantasy', 'Ecchi']",[],,Suiyoubi wa Mattari Dash X Comic,"Kankitsu, Yusura (Story), Touno, Kiri (Art)",1,"[0, 1, 0]"
Watashi no Maou-sama,6.18,307,18677,21133,614,1,One-shot,Unknown,1,Finished,"Oct  12, 2018","['Comedy', 'Fantasy', 'Romance']",[],Shounen,Gessan,"Sano, Yuuto (Story & Art)",0,"[0, 0, 0]"
"Ossan Teihen Chiyushi to Manamusume no Henkyou Life: Chuunen Otoko ga Kaifuku Skill ni Kakusei shite, Eiyuu e Nariagaru (The Frontier Life of the Low-Class Ossan Healer and the Lovely Girl)",6.18,143,18678,20948,623,1,Manga,Unknown,Unknown,Publishing,"Apr  28, 2020 to ?","['Action', 'Comedy', 'Fantasy', 'Slice of Life']",[],,Gaugau Monster,"Iida, Eisei (Story), Kuga, Migaku (Art)",2,"[1, 0, 1]"
Kuzuryuu-san no Oshi wa Chiisai (Ms. Kuzuryu's Favorite Is Small),6.18,263,18679,22562,544,1,Manga,1,10,Finished,"Jan  7, 2021 to Mar  12, 2021",['Comedy'],[],,@vitamin,Neji (Story & Art),1,"[1, 0, 0]"
Kinoko Ningen no Kekkon (Mushroom Girls in Love),6.18,483,18638,13428,"1,250",1,Manga,1,10,Finished,"Oct  3, 2013 to Aug  3, 2014","['Fantasy', 'Girls Love', 'Slice of Life']",[],,pocopoco,"Murayama, Kei (Story & Art)",1,"[0, 1, 0]"
Retort Pouch!,6.18,369,18639,7570,"2,639",6,Manga,7,52,Finished,"Apr  15, 2014 to Dec  20, 2018",['Romance'],['School'],Seinen,Miracle Jump,"Yokoyari, Mengo (Story & Art)",1,"[1, 0, 0]"
Carnaval Glare,6.18,324,18640,18375,776,0,Manga,1,7,Finished,"Feb  28, 2013 to Oct  30, 2013","['Action', 'Fantasy', 'Supernatural']",[],,Blade Online,"Minatogawa, Kazuomi (Story & Art)",0,"[0, 0, 0]"
Ookami-kun to Cinderella,6.18,645,18641,13419,"1,251",0,One-shot,Unknown,1,Finished,"Oct  24, 2013","['Comedy', 'Romance', 'Supernatural']",['Magical Sex Shift'],Shoujo,Asuka,"Akino, Ema (Story & Art)",0,"[0, 0, 0]"
Magazine Heroines on the Beach,6.18,746,18642,10197,"1,814",4,One-shot,Unknown,1,Finished,"Jul  2, 2014","['Comedy', 'Ecchi']",[],Shounen,Shounen Magazine (Weekly),"Seo, Kouji (Story & Art), Hiroyuki (Story & Art), Yoshikawa, Miki (Story & Art), Katsuki, Hikaru (Story & Art)",0,"[0, 0, 0]"
Ero♥Märchen: Hoshi no Ginka,6.18,1297,18643,8146,"2,419",1,Manga,1,2,Finished,"Feb  15, 2013","['Fantasy', 'Romance']",[],Josei,,"Takano, Yumi (Story & Art)",0,"[0, 0, 0]"
Yuri na Watashi to Akuma na Kanojo(?),6.18,2734,18644,4234,"5,146",22,Manga,2,11,Finished,"May  2, 2015 to May  2, 2016",['Romance'],['School'],Seinen,Young Ace,"Mocoyama, Jin (Story & Art)",5,"[1, 3, 1]"
AkogaLady wo Momi Time,6.18,123,18652,31933,264,1,One-shot,Unknown,1,Finished,"May  12, 2010","['Comedy', 'Girls Love']",[],,Tsubomi,"Amano, Shiro (Story & Art)",0,"[0, 0, 0]"
Best Blue,6.18,464,18653,14398,"1,131",3,Manga,3,21,Finished,"Jul  13, 2015 to Nov  21, 2015",['Sports'],[],Shounen,Shounen Jump (Weekly),"Hirakata, Masahiro (Story & Art)",1,"[0, 1, 0]"
