Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Genres,Demographic,Serialization,Author,Released date,Completed date,Total Review,Recommended,Mixed Feelings,Not Recommended
Bonkotsu Shinpei no Monster Life @comic,6.65,224,14096,15184,1046,2,Manga,3,16,Publishing,"[""'Action'"", ""'Fantasy'"", ""'Ecchi'""]",,Comic Corona,"[""'Hashihiro,Isamu'"", ""'Kitajima,Azuma'""]",2021-06-28,Updating,1,1,0,0
Wished You Were Dead,6.65,1202,14097,6214,3334,27,Manhwa,3,133,Finished,"[""'Drama'"", ""'Fantasy'"", ""'Romance'""]",,Naver Webtoon,"[""'Jinseo,Aran'""]",2021-07-28,2024-01-31,5,2,0,3
It Was All You,6.65,147,14098,23999,487,0,Manhwa,3,88,Finished,"[""'Drama'"", ""'Romance'"", ""'Sci-Fi'""]",,Naver Webtoon,"[""'Lee,Soonki'"", ""'Lee,Jaeik'"", ""'Oh,Jeongho'""]",2021-01-14,2022-12-16,0,0,0,0
Marriage and Sword,6.65,273,14099,12938,1316,5,Manhwa,3,131,Finished,"[""'Fantasy'"", ""'Romance'"", ""'Crossdressing'"", ""'Isekai'"", ""'Reincarnation'""]",,KakaoPage,"[""'Saha,Kkanaria'""]",2022-01-03,2024-08-28,0,0,0,0
Updater,6.65,866,14100,7212,2794,12,Manhwa,3,136,Finished,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Video Game'""]",,KakaoPage,"[""'89line'""]",2021-03-31,2023-08-30,1,1,0,0
Fiery Enemies,6.65,195,14101,22113,565,0,Manhwa,3,60,Finished,"[""'Romance'"", ""'Adult Cast'""]",,KakaoPage,"[""'Kim,Su-Jin'"", ""'Yeowoo'""]",2019-05-20,2020-03-03,0,0,0,0
The Adorable Princess of Doom,6.65,148,14102,19577,700,3,Manhwa,3,102,Finished,"[""'Fantasy'"", ""'Isekai'"", ""'Reincarnation'""]",,KakaoPage,"[""'Han,Seram'"", ""'Gae Nyang Ppa'""]",2021-08-30,2023-04-17,0,0,0,0
Helena: Master of the Guardian Stone,6.65,201,14103,15887,976,0,Manhwa,3,102,Finished,"[""'Fantasy'"", ""'Romance'"", ""'Time Travel'""]",,KakaoPage,"[""'Momo,Rascca'""]",2022-04-17,2024-01-16,1,1,0,0
Lady Devil,6.65,301,14104,15166,1048,13,Manhwa,3,140,Finished,"[""'Fantasy'"", ""'Romance'"", ""'Mythology'""]",,,"[""'Fukaki,Shouko'"", ""'B.cenci'""]",2020-07-31,2023-06-01,3,2,1,0
Evil Heart,6.65,136,14105,30258,300,1,One-shot,3,1,Finished,"[""'Action'"", ""'Romance'"", ""'Super Power'""]",Shounen,Jump SQ.Crown,"[""'Kaku,Yuuji'""]",2017-01-20,2017-01-20,0,0,0,0
Osabori Jouzu na Komukai-san wa Ore wo Nigasanai!!,6.65,298,14106,11004,1644,4,Manga,3,16,Publishing,"[""'Comedy'"", ""'Ecchi'"", ""'Delinquents'"", ""'School'""]",,Web Comic Gamma Plus,"[""'Mutsuki'""]",2022-05-06,Updating,1,0,0,1
Kakkoii tte Iwaretai! (I Want You to Say It's Cool!),6.65,185,14107,27260,378,1,One-shot,3,1,Finished,"[""'Comedy'"", ""'Romance'"", ""'School'""]",Seinen,Young Jump Heroine,"[""'Konbu,Wakame'""]",2022-08-10,2022-08-10,2,2,0,0
The 10-Star Player's Lucky Draw,6.65,106,14108,21685,586,1,Manhwa,3,16,Publishing,"[""'Action'"", ""'Fantasy'"", ""'Video Game'""]",,KakaoPage,"[""'Sampyeonjapga,Icho'""]",2022-10-30,Updating,0,0,0,0
Dead Account,6.65,147,14109,18011,802,4,Manga,3,16,Publishing,"[""'Action'"", ""'Supernatural'""]",Shounen,Shounen Magazine (Weekly),"[""'Watanabe,Shizumu'""]",2023-01-18,Updating,0,0,0,0
Let's Get Divorced!,6.65,295,14110,17733,823,0,Manhwa,3,66,Finished,"[""'Comedy'"", ""'Romance'"", ""'Adult Cast'""]",,Naver Webtoon,"[""'Seohu,Haein'""]",2022-02-23,2023-07-12,1,1,0,0
Nanjou-san wa Boku ni Dakaretai,6.65,969,14111,4901,4348,18,Manga,3,16,Publishing,"[""'Romance'"", ""'Ecchi'"", ""'School'""]",,Gangan Online,"[""'You2'""]",2023-04-30,Updating,2,1,0,1
Tozaki-san wa Boku ni dake Tsumetai,6.65,130,14112,17694,826,1,Manga,3,16,Publishing,"[""'Comedy'"", ""'Romance'"", ""'School'""]",,Comic Newtype,"[""'saku'""]",2023-06-02,Updating,0,0,0,0
Boku to Umi Kanojo (Mikane and the Sea Woman),6.65,390,14113,12262,1413,2,Manga,3,16,Publishing,"[""'Romance'"", ""'Supernatural'""]",Shounen,Shounen Jump+,"[""'Kizaki,Aoko'""]",2023-07-29,Updating,0,0,0,0
Siella's Revenge Affair,6.65,207,14114,16214,947,1,Manhwa,3,16,Publishing,"[""'Drama'"", ""'Fantasy'"", ""'Romance'"", ""'Isekai'""]",,KakaoPage,"[""'Seol,Yilynn'"", ""'Ssal Lemon'""]",2023-08-31,Updating,0,0,0,0
Kurokuroku,6.65,373,14203,13084,1296,2,Manga,3,21,Finished,"[""'Action'"", ""'Comedy'"", ""'Fantasy'"", ""'Supernatural'""]",Shounen,Shounen Jump (Weekly),"[""'Nakamura,Atsushi'""]",2013-07-29,2013-11-25,0,0,0,0
Kokushi Musou!!,6.65,118,14204,23704,497,1,Manga,4,39,Finished,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Martial Arts'""]",Shounen,Shounen Sunday,"[""'Tajima,Kazuki'""]",2013-07-31,2014-05-28,0,0,0,0
Hitotsu Yane no Shita no,6.65,895,14205,6626,3107,5,Manga,3,18,Finished,"[""'Comedy'"", ""'Romance'"", ""'Slice of Life'"", ""'School'""]",Seinen,Comic High!,"[""'Fuji,Koyomi'""]",2012-07-21,2014-02-22,2,1,1,0
Steady Study,6.65,435,14206,16829,893,0,Manga,1,5,Finished,"[""'Romance'""]",Shoujo,Betsucomi,"[""'Tamura,Kotoyu'""]",2008-12-24,2010-08-11,0,0,0,0
Gazer,6.65,338,14207,19109,729,1,One-shot,3,1,Finished,"[""'Supernatural'""]",Shounen,Shounen Jump (Weekly),"[""'Miura,Tadahiro'"", ""'Kojima,Taku'""]",2014-01-04,2014-01-04,0,0,0,0
Nonscale,6.65,596,14208,12716,1347,7,Manga,1,9,Finished,"[""'Comedy'"", ""'Fantasy'"", ""'Romance'"", ""'Ecchi'""]",,,"[""'mebae'""]",2012-03-29,2012-03-29,2,2,0,0
Sora x Lila: Sorairo no Lila to Okubyou na Boku,6.65,410,14209,16493,924,0,Manga,2,9,Finished,"[""'Comedy'"", ""'Romance'"", ""'Supernatural'"", ""'School'""]",Seinen,Comic High!,"[""'Kagesaki,Yuna'""]",2014-09-22,2015-06-09,0,0,0,0
Kimi-iro Shoujo,6.65,673,14210,11749,1498,3,Manga,1,6,Finished,"[""'Girls Love'"", ""'Slice of Life'"", ""'School'""]",,"Hirari,","[""'Miman'""]",2010-04-24,2014-04-30,1,0,1,0
Shoushin,6.65,118,14211,28332,348,0,Manga,1,9,Finished,"[""'Girls Love'""]",,"Hirari,","[""'Yukimura'""]",2012-07-28,2014-07-30,0,0,0,0
All for You!,6.65,216,14212,17309,855,1,Manga,1,6,Finished,"[""'Romance'"", ""'School'""]",Shoujo,Betsucomi,"[""'Kadono,Yuu'""]",2011-12-13,2013-02-13,0,0,0,0
Kokyuu no Aida ni Koi ni Naru,6.65,190,14213,27332,376,0,One-shot,3,1,Finished,"[""'Boys Love'"", ""'Romance'"", ""'School'""]",,Fig,"[""'Sano'""]",2013-05-31,2013-05-31,0,0,0,0
Fat Cinderella!! (Chubby Cinderella),6.65,645,14215,9768,1915,8,Manga,3,9,Finished,"[""'Comedy'"", ""'Romance'""]",,Manga Box,"[""'RiSe,Suzukawa'"", ""'Makoto'""]",2014-12-10,2015-04-08,3,2,1,0
Warau Ishi (Supernatural: A Laughing Stone Ghost),6.65,218,14216,14037,1173,0,Manga,3,15,Finished,"[""'Drama'"", ""'Mystery'"", ""'Supernatural'""]",Shounen,Bessatsu Shounen Magazine,"[""'Arita,Keiichirou'""]",2014-11-08,2016-01-09,0,0,0,0
Mahou Sensou (Magical Warfare),6.64,207,14217,10389,1773,13,Light Novel,12,72,Finished,"[""'Action'"", ""'Fantasy'""]",,,"[""'Luna,Lia'"", ""'Suzuki,Hisashi'""]",2011-11-25,2015-09-25,0,0,0,0
Eko Eko Azarak,6.64,154,14218,14645,1102,7,Manga,19,186,Finished,"[""'Horror'"", ""'Supernatural'""]",Shounen,Shounen Champion (Weekly),"[""'Koga,Shinichi'""]",1975-08-21,1979-03-29,2,1,0,1
Isekai Cheat Magician,6.64,293,14219,9134,2092,18,Light Novel,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Isekai'""]",,,"[""'Nardack,Uchida'"", ""'Takeru'""]",2013-06-28,Updating,0,0,0,0
Shishunki na Adam,6.64,275,14220,11981,1456,4,Light Novel,9,82,Finished,"[""'Action'"", ""'Romance'"", ""'Supernatural'"", ""'Ecchi'"", ""'Harem'"", ""'School'""]",,,"[""'Sakaki,Kasa'"", ""'Amagai,Yukino'""]",2009-08-27,2018-12-19,0,0,0,0
"Hajimete, Kudasai.",6.64,492,14221,13507,1237,2,Manga,1,6,Finished,"[""'Romance'"", ""'School'""]",Shoujo,Sho-Comi,"[""'Momoi,Sumire'""]",2012-07-14,2013-04-20,0,0,0,0
Getsuin no Onmyouji,6.64,132,14223,32601,252,1,One-shot,3,1,Finished,"[""'Action'"", ""'Supernatural'""]",Shounen,Shounen Gangan,"[""'Gotsubo,Masaru'""]",2012-08-11,2012-08-11,0,0,0,0
Star Light Woman,6.64,227,14224,22134,564,0,Manga,2,15,Finished,"[""'Action'"", ""'Sci-Fi'"", ""'Supernatural'""]",Seinen,Manga Action,"[""'Kanou,Rie'""]",2013-09-17,2014-04-30,0,0,0,0
Sachiusu,6.64,355,14225,18686,755,0,Manga,1,19,Finished,"[""'Comedy'"", ""'Slice of Life'"", ""'School'""]",Seinen,Manga Time Jumbo,"[""'Minamori,Minamo'""]",2011-09-12,2013-04-12,1,0,1,0
Monster x Monster,6.64,1628,14226,5969,3491,17,Manga,3,16,Finished,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Fantasy'""]",Shounen,Shounen Sunday Super,"[""'Tobita,Nikiichi'""]",2014-04-16,2015-07-25,4,2,1,1
29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta.,6.64,172,14227,15131,1051,4,Light Novel,10,74,Finished,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Isekai'""]",,,"[""'Kuwashima,Rein'"", ""'Ryuto'""]",2014-06-17,2018-08-10,0,0,0,0
To the Sea,6.64,811,14228,12250,1415,4,One-shot,3,1,Finished,"[""'Boys Love'"", ""'Drama'"", ""'Mystery'""]",,Canna,"[""'Asada,Nemui'""]",2014-02-20,2014-02-20,1,0,1,0
Kokuhakumamire,6.64,448,14229,14161,1160,0,Manga,1,6,Finished,"[""'Romance'"", ""'School'""]",Shoujo,Sho-Comi,"[""'Yukari,Yorii'""]",2011-01-15,2014-05-20,0,0,0,0
Ijiwaru Houteishiki (Timeless Lesson),6.64,288,14230,16359,935,3,Manga,1,7,Finished,"[""'Romance'"", ""'School'""]",Shoujo,Margaret,"[""'Hinai,Natsuki'""]",2014-03-20,2014-06-20,0,0,0,0
Manatsu no Blue,6.64,289,14232,22847,531,0,One-shot,3,1,Finished,"[""'Romance'""]",Shoujo,Bessatsu Margaret,"[""'Fujii,Aya'""]",2013-07-13,2013-07-13,0,0,0,0
Spice Girls,6.64,354,14233,16606,913,1,Manga,1,5,Finished,"[""'Girls Love'""]",,Comic Yuri Hime,"[""'Oosawa,Yayoi'""]",2014-03-18,2014-11-18,0,0,0,0
Shikigami Danshi,6.64,128,14234,21807,580,0,Manga,3,15,Finished,"[""'Comedy'"", ""'Romance'"", ""'Supernatural'""]",Shoujo,Cheese!,"[""'Nanao,Mio'""]",2014-08-23,2015-11-24,0,0,0,0
Paradise Residence,6.64,215,14235,19157,726,4,Manga,3,21,Finished,"[""'Comedy'"", ""'School'""]",Seinen,Afternoon,"[""'Fujishima,Kousuke'""]",2014-05-24,2016-01-25,0,0,0,0
Survival: Another Story,6.64,192,14305,24508,467,0,Manga,1,12,Finished,"[""'Drama'""]",Shounen,Shounen Sunday,"[""'Saitou,Takao'""]",1980-01-01,1980-01-01,0,0,0,0
Fuuko no Iru Mise (Fuuko in the Cafe),6.64,222,14306,14309,1140,4,Manga,4,16,Finished,"[""'Romance'"", ""'Slice of Life'""]",Seinen,Morning,"[""'Iwaaki,Hitoshi'""]",1985-01-01,1988-01-01,0,0,0,0
The Red Soul,6.64,870,14307,9438,2005,3,Manhwa,3,21,Finished,"[""'Action'"", ""'Fantasy'""]",Seinen,Daiwon,"[""'Lee,Jong-Kyu'"", ""'Kang,Jae-Sin'""]",2008-04-15,Updating,4,2,2,0
Blast,6.64,987,14308,8545,2277,5,Manhwa,5,36,Finished,"[""'Action'"", ""'Fantasy'""]",Shounen,,"[""'Lee,HaNa'"", ""'Park,KangHo'""]",2007-07-25,2008-06-25,2,1,0,1
Himitsu de Scandal,6.64,313,14309,21208,611,0,Manga,1,5,Finished,"[""'Romance'""]",Shoujo,ChuChu,"[""'Shigano,Iori'""]",2008-01-01,Updating,0,0,0,0
Ai ga Areba Ii no da,6.64,253,14310,23261,514,1,Manga,2,10,Finished,"[""'Drama'"", ""'Romance'"", ""'Slice of Life'""]",Shoujo,,"[""'Ikuemi,Ryou'""]",1992-01-01,Updating,1,0,0,1
Seitoubatsutai Rei & Saki C-R-O-S-S,6.64,116,14311,31063,281,2,Manga,3,16,Finished,"[""'Action'"", ""'Supernatural'"", ""'Vampire'""]",,,"[""'Tsuji,Yuuki'"", ""'Torii,Atsuko'""]",2007-03-24,2008-03-24,0,0,0,0
Genshoku Tsundere Danshi.: Seme-kare,6.64,926,14312,9447,2001,1,Manga,1,5,Finished,"[""'Romance'""]",Shoujo,,"[""'Watanabe,Ayu'"", ""'Yoshioka,Ririko'"", ""'Aikawa,Hiro'"", ""'Aoi,Saki'"", ""'Ishiko'""]",2009-01-01,2009-01-01,0,0,0,0
Satoshi to Pikachu (Ash & Pikachu),6.64,191,14314,20578,644,12,Manga,6,36,Finished,"[""'Adventure'""]",Shounen,,"[""'Teshirogi,Takashi'""]",1997-01-01,2006-01-01,0,0,0,0
Setsunai Himitsu (Keeping Luke's Secret),6.64,227,14315,26383,404,0,Manga,1,16,Finished,"[""'Romance'""]",Josei,,"[""'Mori,Hinoto'"", ""'Mortimer,Carole'""]",2008-03-01,Updating,0,0,0,0
E (The next generation of Personal Computer),6.64,159,14316,20581,643,2,Manga,1,18,Finished,"[""'Comedy'"", ""'Romance'"", ""'Sci-Fi'"", ""'Ecchi'""]",Shounen,Comic Blade,"[""'Ooshiro,Shinri'"", ""'Kirioka,Sana'""]",2011-04-30,2011-12-28,0,0,0,0
Kimi no Kaori,6.64,933,14317,10747,1694,0,Doujinshi,1,1,Finished,"[""'Girls Love'"", ""'Ecchi'""]",,,"[""'Minase,Ruruu'""]",2008-08-17,2008-08-17,1,0,1,0
Ani Koi,6.64,156,14318,20583,643,0,Manga,8,16,Finished,"[""'Comedy'"", ""'Romance'"", ""'School'""]",Shounen,Shounen Ace,"[""'Gotsubo,Ryuuji'""]",2008-12-26,2012-03-26,0,0,0,0
Super Oresama Love Story,6.64,740,14319,9318,2034,4,Manga,1,4,Finished,"[""'Comedy'"", ""'Romance'""]",Seinen,,"[""'Hiroyuki'""]",2009-08-11,2009-11-11,1,1,0,0
Ibara no Namida (Tears of Thorn),6.64,260,14320,19683,694,1,Manga,1,8,Finished,"[""'Girls Love'"", ""'Romance'"", ""'School'""]",,Comic Yuri Hime,"[""'Rikachi'""]",2011-01-18,2011-01-18,0,0,0,0
"Otouto wa, Ookami. (My Brother is a Heartthrob)",6.64,962,14321,9260,2050,2,Manga,1,5,Finished,"[""'Comedy'"", ""'Romance'""]",Shoujo,Betsucomi,"[""'Morita,Fuji'""]",2009-08-11,2012-02-13,0,0,0,0
Omoni Naitemasu,6.64,165,14323,17892,811,2,Manga,10,124,Finished,"[""'Comedy'""]",Seinen,Morning,"[""'Higashimura,Akiko'""]",2010-03-04,2012-12-27,1,0,1,0
Persona x Tantei Naoto,6.64,135,14324,16898,888,6,Light Novel,1,8,Finished,"[""'Action'"", ""'Adventure'"", ""'Mystery'""]",,Dengeki Bunko Magazine,"[""'Sogabe,Shuji'"", ""'Soejima,Shigenori'"", ""'Mamiya,Natsuki'""]",2012-06-10,2012-06-10,0,0,0,0
Off-time no Kemono,6.64,493,14325,16768,898,2,Manga,1,4,Finished,"[""'Romance'""]",Shoujo,,"[""'Katsumoto,Kasane'""]",2011-07-15,2011-07-15,0,0,0,0
Destro 246,6.64,276,14326,10109,1834,6,Manga,7,49,Finished,"[""'Action'"", ""'School'""]",Seinen,Sunday Gene-X,"[""'Takahashi,Keitarou'""]",2012-04-19,2016-04-19,0,0,0,0
ENT.: Ori no Kagi ga Hazusareta K Noukai,6.64,313,14327,16589,915,4,Manga,4,25,Finished,"[""'Romance'"", ""'Slice of Life'"", ""'School'""]",,Club Sunday,"[""'Yoon,In-Wan'"", ""'Kang,Eun Young'"", ""'Pak,Mi-Suk'""]",2012-05-29,2013-11-15,0,0,0,0
GT-R,6.64,1024,14328,6830,3004,12,Manga,1,10,Finished,"[""'Comedy'""]",Shounen,Shounen Magazine (Weekly),"[""'Fujisawa,Tooru'""]",2012-06-27,2012-10-03,1,1,0,0
Soutaisei Moteron,6.64,858,14329,9243,2054,2,Manga,2,11,Finished,"[""'Comedy'"", ""'Romance'"", ""'School'""]",Shounen,Dengeki Daioh,"[""'Tsukiji,Toshihiko'"", ""'Maeda,Risou'""]",2012-02-27,2013-01-26,0,0,0,0
"Moteharu nee, Ashiya-kun",6.64,109,14274,18785,749,3,Manga,3,16,Publishing,"[""'Comedy'"", ""'Fantasy'"", ""'Harem'"", ""'School'""]",,Dra-Dra Sharp#,"[""'Terai,Akane'"", ""'Kurihara,Kazuaki'""]",2024-02-17,Updating,1,1,0,0
My Very Own Tower Strategy Guide,6.64,223,14276,14215,1154,1,Manhwa,3,16,Publishing,"[""'Action'"", ""'Fantasy'""]",,Naver Webtoon,"[""'Kwaejo,X-Name'""]",2024-04-15,Updating,0,0,0,0
Update Kareshi (The Upgraded Boyfriend),6.64,184,14277,31729,269,1,One-shot,3,1,Finished,"[""'Sci-Fi'""]",Shounen,Shounen Jump+,"[""'Agasa,Reiji'""]",2024-09-17,2024-09-17,0,0,0,0
Ha (Tooth),6.64,138,14278,35547,205,0,One-shot,3,1,Finished,"[""'Drama'"", ""'School'""]",Shounen,Shounen Jump+,"[""'Asumi,Asu'""]",2024-10-26,2024-10-26,0,0,0,0
Revolt,6.64,187,14259,13990,1179,2,Manga,3,16,Publishing,"[""'Action'"", ""'Sci-Fi'"", ""'Military'""]",,ComicWalker,"[""'Kusaka,Shinya'"", ""'Takagi,Shuuei'""]",2014-11-30,Updating,1,0,1,0
Oyasumi Jack the Ripper,6.64,426,14260,10353,1782,18,Manga,3,15,Finished,"[""'Fantasy'"", ""'Mystery'""]",Shoujo,ARIA,"[""'Ninomiya,Ai'"", ""'Nao,Ikuhiro'""]",2015-06-27,2016-08-27,1,1,0,0
Majuu Sensen,6.64,139,14261,24814,455,3,Manga,4,16,Finished,"[""'Action'"", ""'Sci-Fi'""]",Shounen,Shounen Action (Weekly),"[""'Ishikawa,Ken'""]",1975-08-25,1976-09-06,0,0,0,0
Lien no Tou yori,6.64,344,14262,19129,728,0,One-shot,3,1,Finished,"[""'Sci-Fi'""]",Shoujo,Wings,"[""'Umeda,Abi'""]",2015-06-27,2015-06-27,0,0,0,0
Santa Claus wa Blue,6.64,127,14263,30201,301,0,One-shot,3,1,Finished,"[""'Romance'"", ""'School'""]",Shoujo,Betsucomi,"[""'Kiachi,Machi'""]",2015-11-13,2015-11-13,0,0,0,0
Sengoku Vamp,6.64,365,14264,10127,1829,7,Manga,5,22,Finished,"[""'Romance'"", ""'Harem'"", ""'Historical'"", ""'Vampire'""]",Shoujo,ARIA,"[""'Hoonoki,Sora'""]",2015-12-28,2017-09-28,0,0,0,0
Tabekake Gospel Plan: Dear Succubus Sister,6.64,201,14265,17522,838,1,Manga,3,26,Finished,"[""'Romance'"", ""'Supernatural'"", ""'Mythology'""]",Shounen,Shounen Jump+,"[""'Kadono,Yuu'""]",2016-04-13,2017-03-01,0,0,0,0
Suki x Suki,6.64,9438,14266,1103,17809,85,Manga,2,23,Finished,"[""'Comedy'"", ""'Romance'"", ""'Supernatural'"", ""'School'""]",,Gangan Online,"[""'Hibaru,Shunsuke'""]",2016-05-26,2017-06-08,8,4,2,2
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu! (High School Prodigies Have It Easy Even in Another World!),6.64,3256,14267,1712,12245,35,Manga,13,103,Finished,"[""'Fantasy'"", ""'Isekai'""]",Seinen,Young Gangan,"[""'Misora,Riku'"", ""'Yamada,Kotaro'""]",2016-05-06,2021-10-01,6,2,1,3
Buster Dress,6.64,122,14268,20173,665,1,Manga,4,20,Finished,"[""'Sci-Fi'"", ""'Mecha'""]",Shounen,Bessatsu Shounen Magazine,"[""'Sadamatsu,Ryuuichi'""]",2016-04-09,2018-01-09,1,1,0,0
Ame to Hare no Kaze no Tabi (Ame and Hare's Journey of Wind),6.64,129,14269,27235,378,0,Manga,2,14,Finished,"[""'Adventure'"", ""'Fantasy'""]",Seinen,Comic Ryu,"[""'Shindou,Miyabi'""]",2016-02-19,2017-03-18,0,0,0,0
Kekkon shite yo... Oujisama!?,6.64,824,14270,10667,1711,1,Manga,1,5,Finished,"[""'Drama'"", ""'Romance'""]",Shoujo,Sho-Comi Zoukan,"[""'Umezawa,Marina'""]",2013-08-20,2016-09-15,0,0,0,0
Next Life,6.64,1253,14271,4494,4789,4,Manga,3,16,Publishing,"[""'Adventure'"", ""'Fantasy'""]",Shounen,Shounen Ace,"[""'Aino,Jin'"", ""'Ichikura,Tokage'""]",2017-05-26,Updating,1,1,0,0
Wabisabi,6.64,227,14272,23190,517,0,Manga,1,12,Finished,"[""'Girls Love'""]",,"Hirari,","[""'Hirao,Auri'""]",2011-08-02,2016-12-05,0,0,0,0
Fujoko to Yuriko,6.64,107,14273,29063,329,1,Manga,2,16,Finished,"[""'Comedy'""]",,Manga Time Kirara Carat,"[""'Moru'""]",2017-01-28,2019-04-27,0,0,0,0
"Shitsurengo, Kenaku datta Osananajimi ga Satougashi Mitai ni Amai (Sugar After Bitter)",6.64,832,14236,8992,2131,4,Manga,2,15,Finished,"[""'Romance'"", ""'School'""]",,Magazine pocket,"[""'Nanaumi,Sou'"", ""'Hasegawa,Sanji'""]",2021-08-16,2022-05-23,1,1,0,0
Hige wo Soru. Soshite Joshikousei wo Hirou.: Each Stories,6.64,167,14237,18662,757,7,Manga,2,17,Finished,"[""'Comedy'"", ""'Romance'"", ""'Slice of Life'""]",Shounen,Shounen Ace Plus,"[""'Shimesaba,Baramatsu'"", ""'Hitomi'""]",2021-03-05,2021-12-03,0,0,0,0
Tensei shitemo Neko wa Neko,6.64,131,14238,20382,654,0,Manga,3,16,Publishing,"[""'Comedy'"", ""'Fantasy'"", ""'Pets'""]",,Gangan Online,"[""'Tooyama,Ema'""]",2021-03-16,Updating,0,0,0,0
No Scope,6.64,595,14239,11475,1552,8,Manhwa,3,204,Finished,"[""'Sports'"", ""'School'"", ""'Video Game'""]",,Naver Webtoon,"[""'Zoyang'""]",2018-05-16,2022-08-10,0,0,0,0
The Celestial Returned from Hell,6.64,1871,14240,3421,6358,13,Manhwa,3,16,Publishing,"[""'Action'"", ""'Fantasy'""]",,KakaoPage,"[""'Geulsseuneun Gigye,Sichi'""]",2021-04-07,Updating,0,0,0,0
God Tribe,6.64,156,14241,22037,569,1,Manhwa,3,75,Finished,"[""'Action'"", ""'Fantasy'""]",,Naver Webtoon,"[""'Seopass,Agu Junu'""]",2022-02-16,2024-02-28,0,0,0,0
My Three Tyrant Brothers,6.64,586,14242,8311,2361,8,Manhwa,3,123,Finished,"[""'Fantasy'""]",,KakaoPage,"[""'Jomil,Parkha'"", ""'Eundu'""]",2021-04-17,2024-01-09,0,0,0,0
The Duke's 99th Bride,6.64,301,14243,13244,1275,0,Manhwa,3,83,Finished,"[""'Fantasy'"", ""'Romance'""]",,KakaoPage,"[""'Choi,Nokki'"", ""'Geumbi'""]",2021-12-23,2023-08-25,3,0,1,2
The Max Level Heroine,6.64,147,14244,16894,888,2,Manhwa,3,16,Publishing,"[""'Adventure'"", ""'Fantasy'"", ""'Romance'"", ""'Isekai'""]",,KakaoPage,"[""'Kim,Jiwoo'"", ""'Team.SC4B'""]",2022-05-27,Updating,1,1,0,0
No More Nice Sis,6.64,220,14245,14943,1071,3,Manhwa,3,112,Finished,"[""'Fantasy'"", ""'Romance'""]",,KakaoPage,"[""'Yun,Yeoeum'"", ""'Naeil'""]",2022-08-03,2024-09-11,0,0,0,0
"Watashi, Nibanme no Kanojo de Ii kara. (I'm Fine with Being the Second Girlfriend)",6.64,122,14246,16362,935,4,Manga,3,16,Publishing,"[""'Drama'"", ""'Romance'"", ""'Ecchi'"", ""'School'""]",,Dengeki Comic Regulus,"[""'Ninoko,Nishi'"", ""'Jouyou'""]",2022-09-23,Updating,0,0,0,0
PathFinder,6.64,179,14247,21425,600,4,Manhwa,3,60,Finished,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Isekai'""]",,KakaoPage,"[""'Yeowang,Hongpit'""]",2021-05-14,2022-04-08,0,0,0,0
"Oshikake Gal no Nakamura-san (Nakamura-san, the Uninvited Gyaru)",6.64,280,14248,10584,1730,9,Manga,3,16,Publishing,"[""'Comedy'"", ""'Adult Cast'"", ""'Love Status Quo'""]",,Manga Town,"[""'Orihara,Sachiko'""]",2021-07-05,Updating,0,0,0,0
Naruto: Konoha Shinden - Yukemuri Ninpouchou (Naruto: Konoha's Story - The Steam Ninja Scrolls: The Manga),6.64,1509,14249,6734,3056,9,Manga,2,15,Finished,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Martial Arts'""]",Shounen,Shounen Jump+,"[""'Hinata,Shou'"", ""'Sai,Natsuo'""]",2022-10-29,2023-05-27,1,1,0,0
Kimi tte Watashi no Koto Suki Nandesho?,6.64,555,14250,7016,2904,3,Manga,3,16,Publishing,"[""'Comedy'"", ""'Romance'"", ""'School'""]",,Manga UP!,"[""'Nozomi,Kota'"", ""'Hiiro,Ichi'""]",2022-12-18,Updating,1,0,1,0
Aishita Bundake Aishite Hoshii!,6.64,142,14251,18942,741,3,Manga,1,7,Finished,"[""'Comedy'"", ""'Girls Love'""]",,Comic Yuri Hime,"[""'Manio'""]",2022-09-16,2023-10-18,0,0,0,0
Wavering Worlds,6.64,184,14252,25441,435,0,Manhwa,3,33,Finished,"[""'Romance'"", ""'Supernatural'"", ""'School'""]",,Naver Webtoon,"[""'Yangdam'""]",2022-05-15,2022-12-25,1,0,1,0
Returned From Hell,6.64,666,14253,7204,2801,4,Manhwa,3,16,Publishing,"[""'Action'"", ""'Fantasy'"", ""'Isekai'""]",,KakaoPage,"[""'Galsaek Panda,Gaduri'""]",2023-02-13,Updating,1,0,0,1
I'll Save the Heroine!,6.64,121,14254,28012,357,1,Manhwa,3,60,Finished,"[""'Fantasy'"", ""'Romance'"", ""'Isekai'"", ""'Villainess'""]",,KakaoPage,"[""'Docyeon,Kim'"", ""'Wootz'""]",2022-06-26,2023-07-09,0,0,0,0
