Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Feiai Xuanyan (No one else),,,45744,33843,231,4,Manhua,Unknown,Unknown,Publishing,2014 to ?,['Romance'],[],Josei,Star☆Girls,"Lee, Nicky (Story & Art)",1,"[1, 0, 0]"
Valentine Lovers,,,45893,45945,107,0,Manhua,4,Unknown,Finished,2006 to  2007,"['Drama', 'Romance']",[],Shoujo,,"San, Yue Tu (Story & Art)",0,"[0, 0, 0]"
Zuori Qing Kong (Crystal Sky of Yesterday),,,46079,28036,357,1,Manhua,2,10,Finished,May  2011 to Feb  2012,['Romance'],['School'],,,Pocket Chocolate (Story & Art),0,"[0, 0, 0]"
"Love, Fragments Shangai",,,47249,58013,56,0,Manhua,1,10,Finished,Not available,"['Romance', 'Slice of Life']",[],,,Chaiko (Story & Art),0,"[0, 0, 0]"
Wa Wa Wu Xian Pu,,,47351,36707,190,0,Manhua,2,16,Finished,2000 to ?,"['Fantasy', 'Romance', 'Supernatural']",[],Shoujo,,"Lin, Qing Hui (Story & Art)",0,"[0, 0, 0]"
Star's Cloth Feather's Yarn Eternity,,,47352,53029,72,0,Manhua,3,Unknown,Finished,2007 to ?,"['Drama', 'Fantasy']",[],Shoujo,,"Lin, Qing Hui (Story & Art)",0,"[0, 0, 0]"
Xia Ke Xing,,,47366,28948,332,1,Manhua,Unknown,Unknown,Publishing,2007 to ?,"['Adventure', 'Drama', 'Fantasy', 'Romance']",['Historical'],Shoujo,,"Jun, Xiao (Story & Art)",0,"[0, 0, 0]"
Mélodie d'enfer (Life as a melody),,,47435,45357,111,1,Manhua,2,12,Finished,Not available,[],[],Seinen,,"Ming, Lu (Story & Art)",0,"[0, 0, 0]"
Wanglian,,,47478,34407,222,5,Manhua,10,53,Finished,2003 to  2011,"['Comedy', 'Romance', 'Slice of Life']",[],Shounen,Dragon Youth,"Zhang, Boqi (Story & Art)",0,"[0, 0, 0]"
Nu'er Guo Chuanqi,,,47612,26258,409,4,Manhua,Unknown,110,Finished,"Oct  14, 2009 to Aug  30, 2014","['Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural']",['Historical'],,u17,WangMan (Story & Art),0,"[0, 0, 0]"
The Song of Gaia,,,47623,49049,89,0,Manhua,Unknown,Unknown,Publishing,Oct  2009 to ?,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Mystery', 'Supernatural']","['Mythology', 'School', 'Super Power']",,,None,0,"[0, 0, 0]"
Ode to Gallantry,,,47730,50512,83,0,Manhua,Unknown,26,Finished,2005 to ?,"['Action', 'Adventure', 'Comedy']","['Historical', 'Martial Arts']",Shounen,,None,0,"[0, 0, 0]"
Mirror Does Not Lie,,,47783,35185,211,1,Manhua,1,4,Finished,2005,"['Fantasy', 'Romance', 'Supernatural']",[],Shoujo,,"Cen, Xiao Jing (Story & Art)",0,"[0, 0, 0]"
The Story of Blue Bird,,,47931,49453,87,0,Manhua,Unknown,1,Finished,Not available,"['Drama', 'Slice of Life']",[],,,None,0,"[0, 0, 0]"
