Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Yami no Moribito,7.52,415.0,2819,11489,"1,550",9,Manga,3,19,Finished,"Aug  12, 2014 to Dec  13, 2017","['Action', 'Adventure', 'Fantasy', 'Supernatural']",[],Shoujo,Nemuki+,"Uehashi, Nahoko (Story), Yuu (Art)",0,"[0, 0, 0]"
Psycho-Pass: Kanshikan Kougami Shinya (Psycho-Pass: Inspector Shinya Kogami),7.52,1245.0,2821,3753,"5,790",54,Manga,6,35,Finished,"Jun  30, 2014 to Nov  4, 2017",['Sci-Fi'],"['Adult Cast', 'Detective']",Shounen,Comic Garden,"Gotou, Midori (Story), Sai, Natsuo (Art)",0,"[0, 0, 0]"
Sword Art Online: Phantom Bullet,7.52,1678.0,2822,3863,"5,624",63,Manga,4,20,Finished,"Apr  10, 2014 to Dec  10, 2021","['Action', 'Fantasy']",['Video Game'],,Dengeki Comic Regulus,"Yamada, Koutarou (Art), Kawahara, Reki (Story)",0,"[0, 0, 0]"
Short Cake Cake,7.52,3656.0,2827,1548,"13,504",169,Manga,12,67,Finished,"Nov  5, 2015 to May  20, 2019",['Romance'],[],Shoujo,Margaret,"Morishita, Suu (Story & Art)",8,"[7, 0, 1]"
Tsuki ga Kirei desu ne,7.52,848.0,2829,5829,"3,590",20,Manga,6,41,Finished,"Jul  18, 2015 to Nov  18, 2019","['Fantasy', 'Girls Love', 'Romance']",[],,Comic Yuri Hime,"Itou, Hachi (Story & Art)",2,"[1, 1, 0]"
Koroshi Ai (Love of Kill),7.52,5082.0,2831,1000,"19,401",297,Manga,14,102,Finished,"Oct  15, 2015 to Jan  14, 2023","['Action', 'Romance']","['Adult Cast', 'Organized Crime']",Josei,Comic Gene,Fe (Story & Art),7,"[7, 0, 0]"
Satsuriku no Tenshi: Episode.0 (Angels Of Death: Episode.0),7.52,345.0,2832,9486,"1,993",32,Manga,7,33,Finished,"Mar  3, 2017 to Mar  31, 2023",['Suspense'],[],,Gene pixiv,"Sanada, Makoto (Story), Nazuka, Kudan (Art)",1,"[1, 0, 0]"
Konohana Kitan,7.51,360.0,2833,6844,"2,995",63,Manga,Unknown,Unknown,Publishing,"Dec  29, 2014 to ?","['Fantasy', 'Girls Love', 'Slice of Life']","['Anthropomorphic', 'CGDCT', 'Iyashikei', 'Workplace']",Seinen,Comic Birz,"Amano, Sakuya (Story & Art)",1,"[1, 0, 0]"
Futsutsukamono no Ani desu ga (My Brother the Shut-in),7.51,1075.0,2834,6942,"2,944",30,Manga,6,28,Finished,"Mar  20, 2013 to Jun  22, 2017",['Drama'],[],Seinen,Morning Two,"Higurashi, Kinoko (Story & Art)",3,"[3, 0, 0]"
Oroka na Tenshi wa Akuma to Odoru,7.51,5549.0,2835,858,"22,352",264,Manga,Unknown,Unknown,Publishing,"Jun  27, 2016 to ?","['Comedy', 'Supernatural']","['Love Status Quo', 'Mythology', 'School']",Seinen,Dengeki Maoh,"Azuma, Sawayoshi (Story & Art)",6,"[6, 0, 0]"
Kuutei Dragons (Drifting Dragons),7.51,2315.0,2836,1612,"13,024",146,Manga,Unknown,Unknown,Publishing,"Jun  7, 2016 to ?","['Adventure', 'Fantasy']",[],Seinen,good! Afternoon,"Kuwabara, Taku (Story & Art)",7,"[4, 1, 2]"
Do Chokkyuu Kareshi x Kanojo,7.51,11542.0,2838,558,"33,100",362,Manga,7,50,Finished,"Jul  27, 2017 to Jun  5, 2021","['Comedy', 'Romance']",['School'],Shounen,Shounen Champion (Monthly),"Fujita, Nagisa (Story & Art)",16,"[13, 2, 1]"
Dekisokonai no Himegimi-tachi (Failed Princesses),7.51,4784.0,2839,1901,"11,041",206,Manga,6,40,Finished,"Apr  6, 2018 to Aug  6, 2021","['Drama', 'Girls Love']",['School'],,Manga Life STORIA Dash,Ajiichi (Story & Art),6,"[6, 0, 0]"
Tsun-Ama na Kareshi (Sweet & Tart Boyfriend),7.51,1770.0,2840,4052,"5,382",32,Manga,4,64,Finished,"Sep  21, 2018 to May  21, 2021","['Comedy', 'Romance', 'Slice of Life']",[],,,Hoshimi SK (Story & Art),2,"[2, 0, 0]"
Kare no Iru Seikatsu (Living with Him),7.51,1142.0,2841,8101,"2,434",16,Manga,1,11,Finished,"Jul  31, 2018 to Jul  2, 2019","['Boys Love', 'Drama', 'Slice of Life']",[],,B-BOY P!,"Miyata, Toworu (Story & Art)",1,"[1, 0, 0]"
Odd Taxi,7.51,167.0,2845,9813,"1,903",22,Manga,5,37,Finished,"Jan  15, 2021 to Jul  22, 2022",['Mystery'],['Anthropomorphic'],,,"Konomoto, Kazuya (Story), Abaraya, Takeichi (Art)",0,"[0, 0, 0]"
Munou no Hito (The Man Without Talent),7.5,1635.0,2902,4884,"4,363",116,Manga,1,6,Finished,Jun  1985,"['Drama', 'Slice of Life']",[],,,"Tsuge, Yoshiharu (Story & Art)",4,"[4, 0, 0]"
Coda,7.51,1389.0,2847,7299,"2,758",28,Manga,3,16,Finished,2010 to  2012,"['Comedy', 'Drama']","['Crossdressing', 'School']",Shoujo,Comic Avarus,"Ichimura, Hitoshi (Story & Art)",1,"[1, 0, 0]"
Negative-kun to Positive-kun,7.51,2923.0,2849,3717,"5,854",41,Manga,1,9,Finished,"Mar  15, 2011",['Boys Love'],[],,,Hideyoshico (Story & Art),4,"[4, 0, 0]"
Cardcaptor Sakura Extras,7.51,1030.0,2850,7909,"2,502",12,Manga,Unknown,2,Finished,"Jul  28, 1998 to Apr  26, 2000",[],[],Shoujo,,CLAMP (Story & Art),1,"[1, 0, 0]"
Ore no Kouhai ga Konnani Kawaii Wake ga Nai (Oreimo: Kuroneko),7.51,1662.0,2852,4061,"5,363",95,Manga,6,49,Finished,"May  30, 2011 to May  30, 2015","['Comedy', 'Slice of Life']",['School'],,Dengeki G's Comic,"Ikeda, Sakura (Art), Fushimi, Tsukasa (Story)",3,"[3, 0, 0]"
Endou-kun no Kansatsu Nikki,7.51,4757.0,2853,2057,"10,179",92,Manga,1,5,Finished,"Feb  1, 2010 to Jun  1, 2011",['Boys Love'],[],,HertZ,"Hayakawa, Nojiko (Story & Art)",7,"[5, 0, 2]"
Drug & Drop,7.51,1231.0,2854,4855,"4,387",26,Manga,Unknown,Unknown,Publishing,"Nov  4, 2011 to ?","['Mystery', 'Supernatural']",[],Seinen,Young Ace,CLAMP (Story & Art),0,"[0, 0, 0]"
Westwood Vibrato,7.51,368.0,2857,13550,"1,232",12,Manga,4,44,Finished,"Apr  19, 2010 to Mar  19, 2012",['Drama'],[],Seinen,Sunday Gene-X,"Yoon, In-Wan (Story), Kim, Sun-hee (Art)",2,"[2, 0, 0]"
Ore no Kokan wa Bishoujo Datta no ka,7.51,2589.0,2862,2603,"8,269",134,Manga,Unknown,Unknown,Publishing,"Mar  17, 2022 to ?",['Comedy'],[],,Manga UP!,Unichiri (Story & Art),9,"[8, 1, 0]"
"Kimi to nara Koi wo Shitemitemo (If It's You, I Might Try Falling in Love)",7.51,163.0,2865,17930,808,12,Manga,Unknown,Unknown,Publishing,"Apr  30, 2021 to ?",['Boys Love'],['School'],,Manga Park,"Kubota, Maru (Story & Art)",0,"[0, 0, 0]"
"Saikou Nando Meikyuu de Party ni Okizari ni Sareta S-Rank Kenshi, Hontou ni Mayoi Makutte Daremo Shiranai Saishinbu e: Ore no Kan dato Tabun Kocchi ga Deguchi dato Omou (My Blade Will Lead the Way! Abandoned in a Labyrinth as a Directionally Challenged S-Rank Swordsman)",7.51,339.0,2866,15464,"1,020",12,Manga,Unknown,Unknown,Publishing,"Jan  28, 2022 to ?","['Action', 'Adventure', 'Fantasy']",[],,Manga UP!,"Murokouichi (Art), quiet (Story)",2,"[2, 0, 0]"
Clover,7.51,6907.0,2868,1116,"17,663",357,Manga,4,20,Finished,1997 to  1999,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']",[],Shoujo,Amie Magazine,CLAMP (Story & Art),10,"[5, 3, 2]"
King of Bandit Jing (Jing: King of Bandits - Twilight Tales),7.51,1020.0,2869,6950,"2,939",76,Manga,7,35,On Hiatus,"1999 to May  26, 2005","['Action', 'Adventure', 'Fantasy', 'Mystery', 'Sci-Fi']",[],Shounen,Magazine-Z,"Kumakura, Yuuichi (Story & Art)",0,"[0, 0, 0]"
Love Roma,7.51,1973.0,2870,3877,"5,597",78,Manga,5,32,Finished,2002 to  2005,"['Comedy', 'Romance', 'Slice of Life']",['School'],Seinen,Afternoon,"Toyoda, Minoru (Story & Art)",3,"[3, 0, 0]"
Seto no Hanayome (My Bride is a Mermaid),7.51,2396.0,2872,2393,"8,896",77,Manga,16,79,Finished,"Jul  26, 2002 to Nov  22, 2010","['Comedy', 'Romance', 'Ecchi']","['Harem', 'Organized Crime', 'Parody', 'School']",Shounen,Gangan Wing,"Kimura, Tahiko (Story & Art)",2,"[2, 0, 0]"
Code Name wa  (Sailor V),7.51,6803.0,2873,1536,"13,561",364,Manga,3,15,Finished,1991 to  1997,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",['Mahou Shoujo'],Shoujo,Run Run,"Takeuchi, Naoko (Story & Art)",9,"[4, 2, 3]"
