Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Demographic,Serialization,Author,Released date,Completed date,Total Review,Recommended,Mixed Feelings,Not Recommended
Toshishita JK ni Moteasobaretai Hito Shuugou☆,5.07,216,45407,53638,70,0,Doujinshi,1,2,Finished,"Aug  17, 2014","[""'Hentai'""]",Shoujo,Reijin,"[""'HANABi'""]",2014-08-17,2014-08-17,0,0,0,0
Yoshioka-sensei wa Boku Senyou Deep Throat Onahole.,5.07,216,45408,44339,117,0,Doujinshi,1,2,Finished,"Apr  29, 2019","[""'Hentai'""]",Seinen,Galette meets,"[""'Clone Ningen'""]",2019-04-29,2019-04-29,0,0,0,0
Jashin to Shokugan,5.07,216,45409,70420,20,0,Doujinshi,2,2,Finished,"Mar  3, 2019 to Dec  28, 2019","[""'Boys Love'"", ""'Supernatural'"", ""'Erotica'""]",Seinen,Reijin,"[""'Naono,Bohra'""]",2019-03-03,2019-12-28,0,0,0,0
Kumo no Ito,5.07,216,45410,70883,17,0,Doujinshi,2,2,Finished,"Dec  30, 2013 to May  4, 2014","[""'Boys Love'"", ""'Fantasy'"", ""'Erotica'""]",Shoujo,Badi,"[""'Naono,Bohra'""]",2013-12-30,2014-05-04,0,0,0,0
Gravitation,5.07,216,45012,66657,32,0,Doujinshi,1,4,Finished,"Aug  4, 1996","[""'Boys Love'"", ""'Fantasy'""]",Seinen,drap,"[""'Naono,Bohra'""]",1996-08-04,1996-08-04,0,0,0,0
Iya na Kao sare nagara Opantsu Misete Moraitai Manga,5.07,216,44992,72435,8,0,Doujinshi,1,2,Finished,"Dec  31, 2016","[""'Ecchi'"", ""'School'""]",Seinen,Manga Time Family,"[""'40-hara'""]",2016-12-31,2016-12-31,0,0,0,0
Pai Bitch!,5.07,216,44993,70626,19,0,Doujinshi,2,2,Finished,"Apr  29, 2019 to Dec  30, 2019","[""'Hentai'""]",Seinen,Galette meets,"[""'uni8'""]",2019-04-29,2019-12-30,0,0,0,0
Sayonara Alpha Bangai-hen (Goodbye Alpha Extra Edition),5.07,216,44976,43596,123,2,Doujinshi,1,3,Finished,"Oct  6, 2019","[""'Boys Love'""]",Seinen,drap,"[""'Ichinashi,Kimi'""]",2019-10-06,2019-10-06,0,0,0,0
Nora Neko to Rain Days,5.07,216,44977,47306,99,0,Doujinshi,1,3,Finished,"Aug  14, 2016","[""'Boys Love'"", ""'Drama'"", ""'Erotica'""]",Shoujo,Reijin,"[""'Aobe,Mahito'""]",2016-08-14,2016-08-14,0,0,0,0
Neko to Wakagashira,5.07,216,44963,64601,38,1,Doujinshi,2,2,Finished,"Oct  21, 2018 to Oct  6, 2019","[""'Boys Love'"", ""'Comedy'""]",Shoujo,Manga Time Family,"[""'Yukue,Moegi'""]",2018-10-21,2019-10-06,0,0,0,0
Sabishigariya no Muboubi Nyanko,5.07,216,44912,27241,379,0,Doujinshi,1,2,Publishing,"Feb  22, 2020 to ?","[""'Comedy'"", ""'Slice of Life'"", ""'Ecchi'""]",Shoujo,Reijin,"[""'Shiwasu,Horio'""]",2020-02-22,Updating,0,0,0,0
Poker Face Josou Danshi to.,5.07,216,44792,38312,170,0,Doujinshi,1,2,Finished,"Aug  11, 2019","[""'Boys Love'"", ""'Comedy'"", ""'Crossdressing'""]",Seinen,Manga Time Family,"[""'Kurano'""]",2019-08-11,2019-08-11,0,0,0,0
Usability,5.07,216,44764,41051,143,0,Doujinshi,1,2,Finished,"Feb  1, 2015","[""'Comedy'"", ""'Romance'"", ""'School'""]",Seinen,Comic Valkyrie,"[""'Hirose,Madoka'""]",2015-02-01,2015-02-01,1,0,1,0
40 x 40 Chikuwa Kaigi,5.07,216,44765,32857,248,2,Doujinshi,5,2,Finished,"Apr  1, 2012 to Aug  18, 2013","[""'Boys Love'"", ""'Comedy'"", ""'Erotica'""]",Shoujo,Galette meets,"[""'Unou,Sanou'""]",2012-04-01,2013-08-18,0,0,0,0
Shunjou Biyori,5.07,216,44766,30719,290,0,Doujinshi,1,2,Finished,"Jan  27, 2020","[""'Hentai'""]",Shoujo,drap,"[""'Alp'""]",2020-01-27,2020-01-27,0,0,0,0
Senpai no Oshiri* (Seasonal Booty),5.07,216,44767,36153,197,2,Doujinshi,2,2,Finished,"Aug  13, 2017 to Feb  11, 2018","[""'Hentai'""]",Seinen,Reijin,"[""'Jun'""]",2017-08-13,2018-02-11,0,0,0,0
Koakuma Setsuko no Himitsu (The Secret of the Little Devil Setsuco),5.07,216,44768,37307,182,5,Doujinshi,1,2,Publishing,"Dec  31, 2016 to ?","[""'Hentai'"", ""'Mythology'""]",Shoujo,Magazine Cyberia,"[""'kakao'""]",2016-12-31,Updating,0,0,0,0
Kiss Shicha Dame? (Kissing is a No-No!),5.07,216,44769,48251,94,1,Doujinshi,1,2,Finished,"Dec  30, 2019","[""'Hentai'""]",Shoujo,Manga Time Jumbo,"[""'Nemu'""]",2019-12-30,2019-12-30,0,0,0,0
Hotarubi (The Tanuki's Lover: Firefly Glow),5.07,216,44770,72161,11,0,Doujinshi,1,2,Finished,"Aug  25, 2019","[""'Fantasy'"", ""'Hentai'""]",Shoujo,Magazine Cyberia,"[""'Nemu'""]",2019-08-25,2019-08-25,0,0,0,0
Okusama wa Succubus,5.07,216,44771,30313,299,2,Doujinshi,1,2,Finished,"Aug  12, 2018","[""'Hentai'"", ""'Mythology'""]",Seinen,Comic ExE,"[""'Mifune,Seijirou'""]",2018-08-12,2018-08-12,0,0,0,0
Hitozuma Asahina Miyo (32) Himitsu no Ninkatsu Nisshi,5.07,216,44772,29875,309,0,Doujinshi,1,2,Finished,"Dec  31, 2019","[""'Hentai'""]",Shoujo,Reijin,"[""'Mifune,Seijirou'""]",2019-12-31,2019-12-31,1,1,0,0
Kourusai Aniyome wo Tsugou yoku Buokasu!,5.07,216,44773,50734,82,0,Doujinshi,1,2,Finished,"Dec  31, 2018","[""'Hentai'""]",Shoujo,Reijin,"[""'Kakitsubata,Kanae'""]",2018-12-31,2018-12-31,0,0,0,0
Manatsu no Housenka,5.07,216,44774,44456,117,0,Doujinshi,1,2,Finished,"Aug  12, 2018","[""'Hentai'""]",Seinen,Comic ExE,"[""'Tsukino,Jyogi'""]",2018-08-12,2018-08-12,0,0,0,0
Otto no Neteru Aida ni Torokasarete Ochita Hitozuma (Let Sleeping Husbands Lie),5.07,216,44775,71645,14,0,Doujinshi,1,2,Finished,"Dec  31, 2018","[""'Hentai'""]",Seinen,Galette meets,"[""'Tsukino,Jyogi'""]",2018-12-31,2018-12-31,0,0,0,0
Kyoukai.,5.07,216,44776,53321,71,0,Doujinshi,1,2,Publishing,"Aug  12, 2018 to ?","[""'Hentai'""]",Seinen,Comic Valkyrie,"[""'Kokonoki,Nao'""]",2018-08-12,Updating,0,0,0,0
Kateikyoushi no Hitsuyou na,5.07,216,44777,70478,20,0,Doujinshi,1,2,Finished,"Dec  31, 2018","[""'Hentai'""]",Seinen,Badi,"[""'Aya,Shachou'""]",2018-12-31,2018-12-31,0,0,0,0
Deviation Princess,5.07,216,44778,70114,21,0,Doujinshi,1,2,Finished,"Aug  11, 2019","[""'Fantasy'"", ""'Hentai'""]",Shoujo,Manga Time Family,"[""'Aya,Shachou'""]",2019-08-11,2019-08-11,0,0,0,0
Aku no Onna Kanbu Slime Lady no Yuuwaku,5.07,216,44779,40337,149,0,Doujinshi,1,2,Finished,"Aug  11, 2019","[""'Hentai'""]",Seinen,Galette,"[""'HANABi'""]",2019-08-11,2019-08-11,0,0,0,0
Mushijo.,5.07,216,44780,39074,162,0,Doujinshi,1,2,Finished,"Dec  30, 2014","[""'Hentai'""]",Seinen,drap,"[""'Fueta,Kishi'""]",2014-12-30,2014-12-30,0,0,0,0
Boku ga Te ni Ireta Chounouryoku,5.07,216,44781,41158,143,0,Doujinshi,1,2,Publishing,"Aug  12, 2018 to ?","[""'Hentai'""]",Shoujo,Galette meets,"[""'Kemigawa'""]",2018-08-12,Updating,1,0,1,0
Zenteika wa Kuro ni Somaru,5.07,216,44782,28774,337,4,Doujinshi,1,2,Finished,"Aug  11, 2019","[""'Hentai'""]",Seinen,drap,"[""'Allegro'""]",2019-08-11,2019-08-11,0,0,0,0
Himitsukichi,5.07,216,44783,41181,142,0,Doujinshi,1,2,Finished,"Dec  30, 2019","[""'Hentai'""]",Shoujo,Comic ExE,"[""'Sugi G'""]",2019-12-30,2019-12-30,0,0,0,0
Strange Wife,5.07,216,44784,38090,173,0,Doujinshi,1,2,Finished,"Dec  31, 2016","[""'Hentai'""]",Seinen,Badi,"[""'Sugi G'""]",2016-12-31,2016-12-31,0,0,0,0
Jimiko Diary (Plain Girl Diaries),5.07,216,44785,29284,324,2,Doujinshi,3,2,Finished,"Apr  29, 2019 to Dec  31, 2019","[""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'Saigado'""]",2019-04-29,2019-12-31,0,0,0,0
Netori Ojisan: Seijunha Joshi◯sei Tobe Miho-hen,5.07,216,44786,48734,91,0,Doujinshi,1,2,Finished,"Mar  29, 2013","[""'Hentai'""]",Seinen,Comic ExE,"[""'Dozamura'""]",2013-03-29,2013-03-29,0,0,0,0
Netorare Genki Mama (Stealing the Energetic Mom),5.07,216,44787,36566,192,1,Doujinshi,1,2,Finished,"Oct  29, 2016","[""'Hentai'""]",Seinen,drap,"[""'Dozamura'""]",2016-10-29,2016-10-29,0,0,0,0
Katekyo-saki no Loli Twintail ga Bitch na Ue ni S ni Mezamete Komaru,5.07,216,44788,44125,119,0,Doujinshi,1,2,Finished,"Feb  26, 2016","[""'Hentai'""]",Seinen,Reijin,"[""'Dozamura'""]",2016-02-26,2016-02-26,0,0,0,0
Hitozuma Miyuki-san ni Otto Kounin de Mainichi Tanetsuke Sex,5.07,216,44789,48016,95,0,Doujinshi,1,2,Finished,"Oct  24, 2015","[""'Hentai'""]",Shoujo,Manga Time Family,"[""'Dozamura'""]",2015-10-24,2015-10-24,0,0,0,0
Shinmai Mama-san NTR (New Mama NTR),5.07,216,44790,52935,73,1,Doujinshi,1,2,Finished,"May  26, 2017","[""'Hentai'""]",Shoujo,Galette meets,"[""'Dozamura'""]",2017-05-26,2017-05-26,0,0,0,0
"Sewayaki Mama, Musuko ni Hamerareru.",5.07,216,44791,38483,168,1,Doujinshi,1,2,Finished,"Dec  15, 2017","[""'Hentai'""]",Shoujo,Comic Valkyrie,"[""'Dozamura'""]",2017-12-15,2017-12-15,0,0,0,0
Hatsukoi Mint Blue,5.07,216,44430,44592,116,0,Doujinshi,1,2,Finished,"Dec  30, 2017","[""'Drama'"", ""'Girls Love'""]",Shoujo,Galette meets,"[""'Yorita,Miyuki'""]",2017-12-30,2017-12-30,0,0,0,0
Otomari Shita no wa H na Gal Oneechan-tachi no Ouchi deshita,5.07,216,44431,30312,299,2,Doujinshi,1,2,Publishing,"Dec  31, 2018 to ?","[""'Hentai'"", ""'Harem'""]",Seinen,Magazine Cyberia,"[""'sian'""]",2018-12-31,Updating,0,0,0,0
Succubus no Rinjin,5.07,216,44432,25056,448,1,Doujinshi,1,2,Publishing,"Aug  12, 2018 to ?","[""'Hentai'""]",Shoujo,drap,"[""'Unou'""]",2018-08-12,Updating,0,0,0,0
Namaiki Chuuniism,5.07,216,44433,27538,370,0,Doujinshi,1,2,Finished,"Aug  11, 2019","[""'Hentai'""]",Seinen,Magazine Cyberia,"[""'Unou'""]",2019-08-11,2019-08-11,1,1,0,0
Shota Koutei Kyoudai ni Torawareta Bakunyuu Onna Kishi,5.07,216,44434,40484,148,5,Doujinshi,4,2,Finished,"Dec  31, 2015 to Dec  30, 2019","[""'Fantasy'"", ""'Hentai'""]",Shoujo,Comic ExE,"[""'Kloah'""]",2015-12-31,2019-12-30,0,0,0,0
Maid no Oshigoto.,5.07,216,44435,43073,127,0,Doujinshi,1,2,Publishing,"Dec  31, 2018 to ?","[""'Hentai'""]",Shoujo,Badi,"[""'Arekishi,Raiho'""]",2018-12-31,Updating,0,0,0,0
Shortcut de Megane no Niau Hitonatsukoi Baito no Kouhai ga Yarichin Douryou no Kuruma de Okurarete kara Mudankekkin Shiteru,5.07,216,44436,59143,53,0,Doujinshi,1,2,Finished,"Nov  24, 2019","[""'Hentai'""]",Seinen,Magazine Cyberia,"[""'Arakure'""]",2019-11-24,2019-11-24,0,0,0,0
OL-san ga Neko wo Hirou Hanashi.,5.07,216,44437,36949,187,0,Doujinshi,3,2,Finished,"Dec  30, 2017 to Aug  11, 2018","[""'Girls Love'"", ""'Supernatural'"", ""'Erotica'""]",Shoujo,drap,"[""'Yoshioka,Sakaki'""]",2017-12-30,2018-08-11,0,0,0,0
Happy Nest,5.07,216,44253,37494,180,0,Doujinshi,1,2,Finished,"Feb  11, 2018","[""'Girls Love'""]",Seinen,Magazine Cyberia,"[""'Nakamura,Yukichi'""]",2018-02-11,2018-02-11,0,0,0,0
Just You and I,5.07,216,44252,67193,31,0,Doujinshi,1,3,Finished,"May  12, 2019","[""'Girls Love'"", ""'Adult Cast'""]",Shoujo,Badi,"[""'Canno,Kawauchi'"", ""'Nega'""]",2019-05-12,2019-05-12,0,0,0,0
Kage Koi (Patterns of Yuri at the Girls' School),5.07,216,44253,43834,121,1,Doujinshi,1,2,Finished,"May  5, 2013","[""'Girls Love'"", ""'Hentai'""]",Seinen,Reijin,"[""'Mira'""]",2013-05-05,2013-05-05,0,0,0,0
Morishita Arai no Renai Jijou (We've Got Chemistry),5.07,216,44254,35723,203,0,Doujinshi,1,2,Finished,"Mar  1, 2015","[""'Girls Love'"", ""'Erotica'"", ""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'Mira'""]",2015-03-01,2015-03-01,0,0,0,0
Mousou Bukatsu Shoujo,5.07,216,44255,46769,102,0,Doujinshi,2,6,Finished,"Dec  31, 2012 to Feb  3, 2013","[""'Girls Love'"", ""'Erotica'"", ""'Hentai'"", ""'School'""]",Shoujo,Galette meets,"[""'Mira'""]",2012-12-31,2013-02-03,0,0,0,0
Heart Synchro,5.07,216,44256,36313,195,1,Doujinshi,1,2,Finished,"Sep  9, 2018","[""'Girls Love'"", ""'Supernatural'"", ""'Erotica'"", ""'Hentai'""]",Shoujo,Comic ExE,"[""'Mira'""]",2018-09-09,2018-09-09,0,0,0,0
Kagitsuki no Alter: Outside,5.07,216,44244,71068,17,0,Doujinshi,1,2,Publishing,"Nov  25, 2018 to ?","[""'Action'"", ""'Historical'""]",Seinen,Galette meets,"[""'Asahi,Ryuu'""]",2018-11-25,Updating,0,0,0,0
Shimaidon Itadakimasu,5.07,216,44245,37655,178,0,Doujinshi,1,2,Finished,"Apr  30, 2018","[""'Hentai'""]",Seinen,drap,"[""'Malcorond'""]",2018-04-30,2018-04-30,0,0,0,0
Ojisan-tachi to Yuku Hitozuma Higaeri Konyoku Rotenburo,5.07,216,44246,49212,89,0,Doujinshi,1,2,Finished,"Aug  11, 2019","[""'Hentai'""]",Shoujo,Reijin,"[""'Arakure'""]",2019-08-11,2019-08-11,0,0,0,0
Futa Resort,5.07,216,44247,72159,11,0,Doujinshi,4,2,Finished,"Oct  14, 2012 to Oct  5, 2013","[""'Hentai'""]",Shoujo,Reijin,"[""'Nyuuhin'""]",2012-10-14,2013-10-05,0,0,0,0
Futanari Osananajimi to Ore to Hajimete no Gyaku Anal Kagai Jugyou,5.07,216,44248,37116,185,1,Doujinshi,1,2,Finished,"Aug  12, 2018","[""'Hentai'"", ""'School'""]",Shoujo,Manga Time Family,"[""'Aimaitei,Umami'""]",2018-08-12,2018-08-12,0,0,0,0
Sebarami!,5.07,216,44249,47047,100,3,Doujinshi,1,2,Finished,"May  3, 2016","[""'Hentai'""]",Shoujo,Magazine Cyberia,"[""'Chimosaku'""]",2016-05-03,2016-05-03,0,0,0,0
Rakugaki Gakugeikai,5.07,216,44106,68004,28,0,Doujinshi,4,31,Finished,"Aug  16, 2015 to Aug  11, 2019","[""'Comedy'""]",Shoujo,Badi,"[""'Katsuwo,Wakabayashi'"", ""'Toshiya,Higashida'"", ""'Yuusuke,Hatopopoko'"", ""'Nagabe,Saho'"", ""'Tanabe,Yugata'"", ""'Migihara,Mozou Crystal'"", ""'Yoroida,Uekura'"", ""'Eku'""]",2015-08-16,2019-08-11,0,0,0,0
Senpai ga Boku ni Shiteru Koto (Sex with Senpai),5.07,216,44107,26947,387,3,Doujinshi,1,2,Publishing,"Aug  12, 2018 to ?","[""'Hentai'""]",Shoujo,Badi,"[""'Sasamori,Tomoe'""]",2018-08-12,Updating,0,0,0,0
Uchi ni wa Yuurei-san ga Imasu,5.07,216,44108,42455,132,0,Doujinshi,4,2,Finished,"Nov  25, 2018 to Nov  23, 2020","[""'Supernatural'"", ""'Hentai'""]",Seinen,Galette meets,"[""'Kanro,Ame'""]",2018-11-25,2020-11-23,0,0,0,0
Dorobou to Hatsukoi dj - Dorobou no Saigo,5.07,216,44109,49385,88,0,Doujinshi,1,2,Finished,"Aug  16, 2014","[""'Boys Love'"", ""'Supernatural'"", ""'Erotica'""]",Shoujo,Reijin,"[""'Naono,Bohra'""]",2014-08-16,2014-08-16,0,0,0,0
Hinako Ikusei Nisshi,5.07,216,44110,70717,18,0,Doujinshi,3,2,Finished,"Dec  31, 2018 to Aug  11, 2019","[""'Hentai'""]",Shoujo,Galette,"[""'Chirumakuro'""]",2018-12-31,2019-08-11,0,0,0,0
Nettai no Mori,5.07,216,44111,44804,114,0,Doujinshi,1,2,Finished,"Aug  11, 2013","[""'Boys Love'"", ""'Fantasy'"", ""'Erotica'"", ""'Mythology'""]",Shoujo,drap,"[""'Naono,Bohra'""]",2013-08-11,2013-08-11,0,0,0,0
"Fuwafuwa, Futashika, Yume Mitai",5.07,216,44112,32740,250,1,Doujinshi,1,11,Finished,"Feb  19, 2017 to Nov  29, 2018","[""'Drama'"", ""'Girls Love'"", ""'Erotica'"", ""'School'""]",Seinen,Galette,"[""'Hakamada,Mera'""]",2017-02-19,2018-11-29,0,0,0,0
Shigeki-kei My Hero dj - Ore no Honki wo Miseteyaru,5.07,216,44113,35806,202,1,Doujinshi,1,2,Finished,"Aug  11, 2018","[""'Boys Love'"", ""'Erotica'""]",Seinen,Manga Time Jumbo,"[""'Ryou'""]",2018-08-11,2018-08-11,0,0,0,0
Natsuyasumi ni Aenakatta Boku no Kanojo wa.,5.07,216,44114,39376,159,0,Doujinshi,1,2,Finished,"May  12, 2019","[""'Hentai'""]",Seinen,Comic ExE,"[""'Arakure'""]",2019-05-12,2019-05-12,0,0,0,0
Muchi Homo Kanojo,5.07,216,44115,36574,191,2,Doujinshi,1,2,Finished,"Aug  13, 2017","[""'Boys Love'"", ""'Erotica'"", ""'Hentai'""]",Seinen,Galette,"[""'Chinzuriina'""]",2017-08-13,2017-08-13,0,0,0,0
Inran Shounen: Nazo no Bitch Shota to Ossan no Monogatari,5.07,216,44116,38609,167,4,Doujinshi,1,2,Publishing,"Aug  15, 2017 to ?","[""'Boys Love'"", ""'Hentai'""]",Seinen,Manga Time Family,"[""'Jairou'""]",2017-08-15,Updating,0,0,0,0
Tokyo Kemono Joujikyoku (Sex and the Furry),5.07,216,44117,71838,12,0,Doujinshi,2,2,Finished,"Apr  29, 2014 to May  4, 2015","[""'Boys Love'"", ""'Fantasy'"", ""'Hentai'"", ""'Anthropomorphic'""]",Seinen,Comic ExE,"[""'Iwamoto,Yukio'""]",2014-04-29,2015-05-04,0,0,0,0
Genki ga Nai nara Shite Ageru,5.07,216,44118,40749,146,0,Doujinshi,1,2,Finished,"Aug  12, 2018","[""'Hentai'""]",Seinen,Reijin,"[""'shuz'""]",2018-08-12,2018-08-12,0,0,0,0
Oborozukiyo ni Ginrou to Naku (Silver Wolf Cries in Full Moon),5.07,216,44119,43812,122,1,Doujinshi,1,2,Finished,"Mar  4, 2018","[""'Boys Love'"", ""'Supernatural'"", ""'Erotica'""]",Seinen,Comic Valkyrie,"[""'sawaco'""]",2018-03-04,2018-03-04,0,0,0,0
Yarimoku Kouen,5.07,216,44120,38737,166,0,Doujinshi,1,2,Finished,"Aug  12, 2018","[""'Hentai'""]",Shoujo,Galette meets,"[""'Sugi G'""]",2018-08-12,2018-08-12,0,0,0,0
Heijitsu no Tanoshimikata,5.07,216,44121,33699,233,1,Doujinshi,1,2,Finished,"Dec  31, 2015","[""'Hentai'""]",Shoujo,Manga Time Jumbo,"[""'Sugi G'""]",2015-12-31,2015-12-31,0,0,0,0
Nyuugi Senyou Shimai,5.07,216,44122,40316,150,0,Doujinshi,1,2,Finished,"May  2, 2015","[""'Hentai'""]",Seinen,Magazine Cyberia,"[""'Jyura'""]",2015-05-02,2015-05-02,0,0,0,0
Rental Kanojo,5.07,216,44123,32097,262,1,Doujinshi,1,2,Finished,"Aug  12, 2018","[""'Hentai'""]",Shoujo,Magazine Cyberia,"[""'Jyura'""]",2018-08-12,2018-08-12,0,0,0,0
Hayai Hanashi ga Ikutsuka,5.07,216,43298,36055,199,0,Doujinshi,1,2,Finished,"Nov  14, 2010","[""'Comedy'""]",Shoujo,Manga Time Jumbo,"[""'Akasaka,Aka'""]",2010-11-14,2010-11-14,0,0,0,0
Hidoku Shinaide dj - Akakute Oishii,5.07,216,43299,66772,32,0,Doujinshi,1,2,Finished,"Aug  11, 2018","[""'Boys Love'"", ""'Erotica'""]",Seinen,Badi,"[""'Nekota,Yonezou'""]",2018-08-11,2018-08-11,0,0,0,0
Shoujo Terrarium (Girl in the Terrarium),5.07,216,43300,46398,104,0,Doujinshi,3,2,Finished,"Aug  14, 2016 to Aug  13, 2017","[""'Hentai'""]",Seinen,drap,"[""'Horonamin'""]",2016-08-14,2017-08-13,0,0,0,0
Yuri Tanpenshuu: Yuki Moyou,5.07,216,43108,65965,34,1,Doujinshi,1,3,Finished,"Feb  5, 2012 to Nov  23, 2014","[""'Girls Love'""]",Shoujo,Manga Time Family,"[""'Nakamura,Yukichi'""]",2012-02-05,2014-11-23,0,0,0,0
Kishi to Hakobiya,5.07,216,43109,44283,118,0,Doujinshi,4,2,Finished,"Dec  30, 2016 to Aug  11, 2018","[""'Boys Love'"", ""'Fantasy'"", ""'Erotica'""]",Shoujo,Badi,"[""'Naono,Bohra'""]",2016-12-30,2018-08-11,0,0,0,0
Obsidian no Akuma,5.07,216,43110,59676,51,0,Doujinshi,1,2,Finished,"Aug  12, 2016","[""'Boys Love'"", ""'Fantasy'"", ""'Erotica'"", ""'Vampire'""]",Seinen,Galette,"[""'Natsuo,Monaka'""]",2016-08-12,2016-08-12,0,0,0,0
Chiisana Seikatsu,5.07,216,43111,52959,72,0,Doujinshi,4,2,Finished,"Oct  26, 2014 to Dec  31, 2015","[""'Hentai'""]",Seinen,Reijin,"[""'Kidou,Muichi'""]",2014-10-26,2015-12-31,0,0,0,0
Matsuri,5.07,216,43112,50128,84,2,Doujinshi,2,2,Finished,"Aug  11, 2013 to Dec  31, 2013","[""'Hentai'""]",Seinen,Manga Time Family,"[""'Mashiraga,Aki'""]",2013-08-11,2013-12-31,0,0,0,0
Kinou Nani Tabeta? dj - Kenji to Shiro-san,5.07,216,43113,43991,120,1,Doujinshi,1,2,Publishing,"Dec  29, 2015 to ?","[""'Boys Love'"", ""'Slice of Life'"", ""'Erotica'""]",Seinen,Badi,"[""'Yoshinaga,Fumi'""]",2015-12-29,Updating,0,0,0,0
Fetters,5.07,216,43114,53846,69,0,Doujinshi,4,8,On Hiatus,"Mar  3, 2013 to Oct  18, 2015","[""'Boys Love'"", ""'Erotica'""]",Seinen,Galette meets,"[""'Haji'""]",2013-03-03,2015-10-18,0,0,0,0
Boku dake no Bakunyuu Ona-Maid dj - Tama Matsuri,5.07,216,43115,71290,16,0,Doujinshi,2,2,Finished,"May  4, 2010 to May  3, 2012","[""'Hentai'""]",Seinen,Comic ExE,"[""'KEN'""]",2010-05-04,2012-05-03,0,0,0,0
Tamaran♥,5.07,216,43116,71314,15,0,Doujinshi,1,2,Finished,"Aug  16, 2009","[""'Hentai'""]",Seinen,Comic Valkyrie,"[""'KEN'""]",2009-08-16,2009-08-16,0,0,0,0
Tamapara♥,5.07,216,43117,71313,15,0,Doujinshi,1,2,Finished,"Oct  26, 2008","[""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'KEN'""]",2008-10-26,2008-10-26,0,0,0,0
Boku no Sensei,5.07,216,43118,41153,143,2,Doujinshi,1,2,Finished,"Nov  11, 2017","[""'Hentai'""]",Seinen,Comic Valkyrie,"[""'Mogiki,Hayami'""]",2017-11-11,2017-11-11,0,0,0,0
Chuu Shite Vampire Girls (Kiss Me Vampire Girls),5.07,216,43119,37665,177,1,Doujinshi,4,2,Finished,"Aug  15, 2010 to Aug  13, 2017","[""'Girls Love'"", ""'Erotica'"", ""'Hentai'"", ""'School'"", ""'Vampire'""]",Seinen,Reijin,"[""'Mira'""]",2010-08-15,2017-08-13,0,0,0,0
Ame to Kimi no Mukou (The Rain and the Other Side of You),5.07,216,42857,38605,167,12,Doujinshi,1,15,Finished,"Aug  13, 2017 to Dec  29, 2018","[""'Drama'"", ""'Girls Love'"", ""'School'""]",Seinen,Galette,"[""'Momono,Moto'""]",2017-08-13,2018-12-29,0,0,0,0
Kanojo Gokko,5.07,216,42858,47248,99,3,Doujinshi,1,2,Publishing,"Aug  13, 2017 to ?","[""'Boys Love'"", ""'Hentai'""]",Seinen,drap,"[""'NemuNemu'""]",2017-08-13,Updating,0,0,0,0
Nyotai-ka Pandemic,5.07,216,42859,49654,86,0,Doujinshi,4,2,Finished,"Dec  30, 2014 to Apr  30, 2018","[""'Hentai'"", ""'Magical Sex Shift'""]",Seinen,Comic ExE,"[""'Akatsuki,Katsuie'""]",2014-12-30,2018-04-30,0,0,0,0
Yankee JC Bokobokorin!,5.07,216,42860,43642,123,1,Doujinshi,1,2,Finished,"Aug  14, 2016","[""'Hentai'""]",Shoujo,Galette meets,"[""'Shiruka,Bakaudon'""]",2016-08-14,2016-08-14,0,0,0,0
Irony Dress ni Sayonara dj – Honto wa Chotto ne,5.07,216,42861,39699,155,0,Doujinshi,1,2,Finished,"Dec  30, 2016","[""'Boys Love'"", ""'Erotica'""]",Seinen,Manga Time Family,"[""'Miyoshi,Ayato'""]",2016-12-30,2016-12-30,0,0,0,0
Elf no Shiri no Ana ga Gabagaba na Riyuu,5.07,216,42862,58815,54,0,Doujinshi,1,2,Finished,"Dec  31, 2017","[""'Fantasy'"", ""'Hentai'""]",Shoujo,Galette,"[""'Ishimiso'""]",2017-12-31,2017-12-31,0,0,0,0
Makiba no Bonyuu Nikki♡ (Mommy Milky Meadows Collection),5.07,216,42863,61468,47,0,Doujinshi,4,2,Finished,"Dec  31, 2017 to Aug  11, 2019","[""'Hentai'""]",Seinen,Manga Time Family,"[""'Misaoka'""]",2017-12-31,2019-08-11,0,0,0,0
Jigokukan,5.07,216,42864,70106,21,0,Doujinshi,1,2,Finished,"Aug  13, 2017","[""'Hentai'""]",Seinen,Reijin,"[""'Makari,Tooru'""]",2017-08-13,2017-08-13,0,0,0,0
Watashi to Kanojo to Ai to Yoku,5.07,216,42865,48950,90,1,Doujinshi,1,2,Finished,"May  1, 2016","[""'Girls Love'"", ""'Erotica'"", ""'Hentai'""]",Seinen,Galette,"[""'Amanagi,Seiji'""]",2016-05-01,2016-05-01,1,0,0,1
Danchou no Okite,5.07,216,42866,68333,27,0,Doujinshi,1,2,Finished,"Dec  30, 2012","[""'Boys Love'"", ""'Erotica'""]",Shoujo,Magazine Cyberia,"[""'Ochita,Taiji'""]",2012-12-30,2012-12-30,0,0,0,0
Amaenbo Imouto Elly-chan,5.07,216,42867,42452,132,0,Doujinshi,2,2,Finished,"Dec  31, 2017 to Aug  12, 2018","[""'Hentai'""]",Shoujo,drap,"[""'Shimaji'""]",2017-12-31,2018-08-12,0,0,0,0
