Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Amanusya,6.58,397,15091,19548,702,1,Unknown,1,Finished,"Jun  7, 2012","['Action', 'Adventure', 'Comedy', 'Fantasy']",[],"Hosokawa, Shingi (Story & Art)",0,"[0, 0, 0]"
Obito no Hime to Kubinashi Kishi,6.58,995,15092,8483,"2,298",7,1,4,Finished,"Oct  24, 2012 to Jan  24, 2013","['Action', 'Drama', 'Romance']",[],"Mutsuki, Kei (Story), Aozaki, Ritsu (Art)",2,"[1, 0, 1]"
Mugen Himitsu,6.58,342,15093,21117,615,0,Unknown,1,Finished,"Feb  20, 2013","['Romance', 'Supernatural']",[],"Tokunaga, Satsuki (Story & Art)",1,"[1, 0, 0]"
Nyoroko no Namahousou! (Nyoroko's Live Broadcasting!),6.58,163,15094,14222,"1,152",3,2,20,Finished,"Aug  27, 2014 to Apr  27, 2016","['Comedy', 'Slice of Life']",[],Muku (Story & Art),0,"[0, 0, 0]"
Ryuu to Hidarite,6.58,271,15095,23560,503,1,Unknown,1,Finished,"Jul  28, 2015",[],[],"Shizuki, Ito (Story & Art)",0,"[0, 0, 0]"
"Konya wa Tsuki ga Kirei desu ga, Toriaezu Shine (Can You Just Die, My Darling?)",6.58,6619,15096,697,"26,792",179,10,35,Finished,"Apr  20, 2015 to Feb  6, 2019","['Drama', 'Romance', 'Suspense']","['Psychological', 'School']","Sakakibara, Sousou (Art), Kaname, Majuro (Story)",8,"[1, 3, 4]"
Renai Kyoutei,6.58,375,15097,20107,669,1,Unknown,1,Finished,"Feb  10, 2016","['Comedy', 'Romance']",[],Masayoshi (Story & Art),0,"[0, 0, 0]"
"Aishite Nai, kamo.",6.58,531,15098,14071,"1,169",2,1,7,Finished,"Jun  3, 2016 to Sep  5, 2016",[],[],"Hanano, Risa (Story & Art)",0,"[0, 0, 0]"
Koisuru Yankee Girl (Yankee Girl in Love),6.58,2754,15099,1997,"10,430",23,5,73,Finished,"Dec  5, 2014 to Aug  5, 2019","['Comedy', 'Romance']",[],"Orihara, Sachiko (Story & Art)",2,"[2, 0, 0]"
Ace-kun no Tonari.,6.58,205,15100,25280,440,0,1,6,Finished,"Feb  20, 2013 to Nov  20, 2014",[],"['School', 'Space']","Asagi, Hikaru (Story & Art)",0,"[0, 0, 0]"
Uchi no Maid ga Uzasugiru (UzaMaid: Our Maid is Way Too Annoying!),6.58,416,15101,6881,"2,975",6,10,59,Finished,"Nov  30, 2013 to Jan  25, 2023","['Comedy', 'Girls Love']",[],"Nakamura, Kanko (Story & Art)",1,"[0, 0, 1]"
